17/12/0791	al-Malik al-Manṣūr Ḥājjī 2409	sulṭān	marries	Bint ʾAḥmad b. al-Sulṭān Ḥasan 2887
17/12/0791	Quṭlūbughā al-Ṣafawī 1734	ʾamīr (general)	marries	Bint ʾAydamur al-Dawādār 2888
06/03/0816	Shaykh al-Khāṣṣakī al-Ṣafawī 1774	unknown	is related through marriage with	Fatḥ Allāh al-Tabrīzī 16
06/03/0816	Fatḥ Allāh al-Tabrīzī 16	unknown	marries	Bint Shaykh al-Ṣafawī 2928
09/03/0816	al-Muʾayyad Shaykh 12	sulṭān	is related through marriage with	Ṭūghān al-Ḥasanī 40
09/03/0816	Ṭūghān al-Ḥasanī 40	dawādār kabīr (sulṭān)	marries	Bint al-Muʾayyad 2930
20/07/0836	Muḥammad b. Qāsim 132	unknown	is intimate with	al-ʾAshraf Barsbāy 24
27/06/0854	Sulaymān b. Muḥammad b. Dulghādir 2304	nāʾib (al-ʾAbulustayn/Elbistan - Aleppo)	is related through marriage with	al-Ẓāhir Jaqmaq 2
27/06/0854	al-Ẓāhir Jaqmaq 2	sulṭān	marries	Bint Sulaymān b. Dulghādir 2779
20/11/0854	al-Ẓāhir Jaqmaq 2	sulṭān	marries	Shāh Zādah bt. Ibn ʿUthmān 2983
10/04/0837	Shaykh al-Khāṣṣakī al-Ṣafawī 1774	unknown	is ustādh	Shāhīn al-Shaykhī 3049
10/04/0837	Shāhīn al-Shaykhī 3049	unknown	becomes parent	Khalīl b. Shāhīn al-Shaykhī 664
11/02/0855	al-Ẓāhir Jaqmaq 2	sulṭān	is ustādh	Ibn ʾIṣbahān b. Qarā Yūsuf 3051
16/01/0815	Taghrī Birdī al-Bashbughāwī  1889	unknown	is related through marriage with	Yashbak b.ʾUzdamur 77
16/01/0815	Yashbak b.ʾUzdamur 77	ʾatābak ʿasākir (al-Qāhira/Cairo)	marries	Bint Taghrī Birdī al-Bashbughāwī  3029
17/03/0855	ʿAbd al-Bāsiṭ al-Dimashqī 80	unknown	is related through marriage with	al-Ẓāhir Jaqmaq 2
17/03/0855	al-Ẓāhir Jaqmaq 2	sulṭān	marries	Fāṭima bt. Zayn al-Dīn ʿAbd al-Bāsiṭ b. Khalīl 3085
26/06/0837	al-ʾAshraf Barsbāy 24	sulṭān	is intimate with	Muḥammad b. Qāsim 132
26/06/0837	al-ʾAshraf Barsbāy 24	sulṭān	is intimate with	Tāj al-Dīn Tāj al-Shuwaykī 116
14/02/0792	al-Ẓāhir Barqūq 4	sulṭān	is intimate with	ʿāmma 192
01/01/0865	al-Ẓāhir Khushqadam al-Nāṣirī al-Muʾayyadī 861	sulṭān	is ustādh	mamālīk sulṭānīya (al-ʾAshraf ʾĪnāl) 873
01/01/0865	al-Ẓāhir Khushqadam al-Nāṣirī al-Muʾayyadī 861	sulṭān	is ustādh	julbān al-Ẓāhir Khushqadam 3062
01/01/0865	al-Ẓāhir Khushqadam al-Nāṣirī al-Muʾayyadī 861	sulṭān	is intimate with	julbān al-Ẓāhir Khushqadam 3062
01/01/0865	al-Ẓāhir Khushqadam al-Nāṣirī al-Muʾayyadī 861	sulṭān	is ustādh	Barsbāy al-Khāṣṣakī 3129
17/07/0836	Tāj al-Dīn Tāj al-Shuwaykī 116	mihmandār (sulṭān)	is intimate with	al-ʾAshraf Barsbāy 24
