Yashbak b.ʾUzdamur 77	ʾamīr 100 (al-Qāhira/Cairo)
ʿAbd al-Bāsiṭ al-Dimashqī 80	ʾamīr 020 (Dimashq/Damascus)
ʿAbd al-Bāsiṭ al-Dimashqī 80	baṭṭāl
al-Nāṣirī Muḥammad 81	ʾamīr 100 (al-Qāhira/Cairo)
al-ʾAshrafīya Barsbāy 82	ʾamīr 100 (al-Qāhira/Cairo)
al-ʾAshrafīya Barsbāy 82	ʾamīr 010 (al-Qāhira/Cairo)
al-ʾAshrafīya Barsbāy 82	ʾamīr 040 (al-Qāhira/Cairo)
al-ʾAshrafīya Barsbāy 82	khāṣṣakīya (sulṭān)
Jānibak al-Ṣūfī 83	ʾatābak ʿasākir (al-Qāhira/Cairo)
Jānibak al-Ṣūfī 83	ʾamīr kabīr (al-Qāhira/Cairo)
Jānibak al-Ṣūfī 83	ʾamīr 100 (al-Qāhira/Cairo)
Badr al-Dīn Ḥasan b. Naṣr Allāh al-Fawwī 88	ʾamīr 100 (al-Qāhira/Cairo)
Badr al-Dīn Ḥasan b. Naṣr Allāh al-Fawwī 88	baṭṭāl
Baybars b. Baqr 90	baṭṭāl
Baybars b. Baqr 90	ʾamīr (general)
Khalīl al-Jashārī 92	ʾamīr kabīr (Ṣafad/Safed)
Khalīl al-Jashārī 92	ʾamīr 100 (Dimashq/Damascus)
ʾAlṭunbughā al-Marqabī  97	ʾamīr 100 (al-Qāhira/Cairo)
ʾAlṭunbughā al-Marqabī  97	baṭṭāl
ʾAlṭunbughā al-Marqabī  97	ʾamīr 010 (al-Qāhira/Cairo)
Yalbughā al-Bahāʾī  100	ʾamīr 020 (al-Qāhira/Cairo)
Barsbāy al-Nāṣirī 105	baṭṭāl
Barsbāy al-Nāṣirī 105	ʾamīr (Dimashq/Damascus)
Barsbāy al-Nāṣirī 105	ʾamīr 
Ṭūghān al-ʾAmīr ʾĀkhūr 107	ʾamīr 100 (al-Qāhira/Cairo)
Ṭūghān al-ʾAmīr ʾĀkhūr 107	jund
Ṭūghān al-ʾAmīr ʾĀkhūr 107	ʾamīr 010 (al-Qāhira/Cairo)
Ṭūghān al-ʾAmīr ʾĀkhūr 107	ʾamīr 010 (Ṭarābulus/Tripoli)
Kumushbughā al-ʿĪsāwī 108	ʾamīr 100 (al-Qāhira/Cairo)
Taghrī Birmish al-Turkmānī 110	ʾamīr (general)
