Source	Label	Target
al-Ẓāhir Jaqmaq 2	patron (khāṣṣ) of	Jānibak al-Ẓāhirī Nāʾib Jidda 869
al-Ẓāhir Jaqmaq 2	patron (khāṣṣ) of	ʿAlāʾ al-Dīn b. ʾĀqbars 275
al-Ẓāhir Jaqmaq 2	patron (khāṣṣ) of	Fayrūz al-Jārkasī al-Sāqī 19
al-Ẓāhir Jaqmaq 2	patron (khāṣṣ) of	Jamāl al-Dīn b. Kātib Jakam 571
al-Ẓāhir Jaqmaq 2	patron (khāṣṣ) of	ʾAbu l-Khayr al-Naḥḥās 1168
al-Muʾayyad Shaykh 12	parent of	ʾIbrāhīm b. al-Muʾayyad Shaykh 217
al-Muʾayyad Shaykh 12	parent of	Mūsā b. Shaykh 1073
al-Muʾayyad Shaykh 12	parent of	Muḥammad b. Shaykh 1118
al-Muʾayyad Shaykh 12	parent of	al-Muẓaffar ʾAḥmad b. Shaykh 1364
al-Muʾayyad Shaykh 12	parent of	Satīta 1589
al-Muʾayyad Shaykh 12	parent of	ʿUmar b. Shaykh 2354
al-Muʾayyad Shaykh 12	parent of	Bint al-Muʾayyad 2930
al-Muʾayyad Shaykh 12	parent of	ʾIbrāhīm b. Shaykh 813
al-Muʾayyad Shaykh 12	parent of	Nafisāʾ bint al-Muʾayyad 3809
al-Muʾayyad Shaykh 12	parent of	Nafisāʾ bint al-Muʾayyad 3809
al-Muʾayyad Shaykh 12	parent of	Faraj b. Sakiz Bāy 2635
al-Muʾayyad Shaykh 12	ustādh of	Jānibāk al-Muʾayyadī al-Dawādār 213
al-Muʾayyad Shaykh 12	ustādh of	al-Muʾayyadīya 268
al-Muʾayyad Shaykh 12	ustādh of	mamālīk sulṭānīya (Shaykh) 282
al-Muʾayyad Shaykh 12	ustādh of	Qarā al-Muʾayyadī 285
al-Muʾayyad Shaykh 12	ustādh of	al-Ẓāhir Yalbāy al-ʾĪnālī al-Muʾayyadī 1090
al-Muʾayyad Shaykh 12	ustādh of	Jānim al-Muʾayyadī 3925
al-Muʾayyad Shaykh 12	ustādh of	Ṭūghān al-Ḥasanī 40
al-Muʾayyad Shaykh 12	ustādh of	Julbān al-Muʾayyadī ʾAmīr ʾĀkhūr 179
al-Muʾayyad Shaykh 12	ustādh of	ʾĪnāl al-Jakamī 126
al-Muʾayyad Shaykh 12	ustādh of	al-ʾAshraf Barsbāy 24
al-Muʾayyad Shaykh 12	ustādh of	al-Nāṣirīya Faraj 2226
al-Muʾayyad Shaykh 12	ustādh of	al-Ẓāhir Khushqadam al-Nāṣirī al-Muʾayyadī 861
al-Muʾayyad Shaykh 12	ustādh of	ʾĀqbirdī al-Muʾayyadī al-Minqār* 426
al-Muʾayyad Shaykh 12	ustādh of	ʾaʿyān al-Muʾayyadīya  2474
al-Muʾayyad Shaykh 12	ustādh of	Fāris al-Maḥmūdī 136
al-Muʾayyad Shaykh 12	ustādh of	ʾAyāz 2834
al-Muʾayyad Shaykh 12	ustādh of	Kizil Nāʾib Bahasnā 289
al-Muʾayyad Shaykh 12	ustādh of	ʾAqbāy al-Khāzindār al-Muʾayyadī 301
al-Muʾayyad Shaykh 12	ustādh of	Tanbak al-Muʾayyadī 2374
al-Muʾayyad Shaykh 12	ustādh of	al-Ẓāhir Yalbāy al-ʾĪnālī al-Muʾayyadī 1090
al-Muʾayyad Shaykh 12	ustādh of	al-Ẓāhir Ṭaṭar 441
al-Muʾayyad Shaykh 12	ustādh of	al-Muʾayyadīya 268
al-Muʾayyad Shaykh 12	ustādh of	ʾĪnāl al-ʾAzʿarī al-ʾArghizī 425
al-Muʾayyad Shaykh 12	ustādh of	Sūdūn al-Lakkāshī 1670
al-Muʾayyad Shaykh 12	ustādh of	Yashbak ʾĀnālī 942
al-Muʾayyad Shaykh 12	ustādh of	Mughulbāy al-Muʾayyadī 1650
al-Muʾayyad Shaykh 12	ustādh of	Mubārak Shāh al-Rammāḥ 703
al-Muʾayyad Shaykh 12	ustādh of	Māmish al-Muʾayyadī 1666
al-Muʾayyad Shaykh 12	ustādh of	Sūdūn al-ʾAbūbakrī al-Muʾayyadī 2509
al-Muʾayyad Shaykh 12	ustādh of	ʿAlī Bāy al-Muʾayyadī 1023
al-Muʾayyad Shaykh 12	ustādh of	Bayghūt  al-Muʾayyadī al-ʾAʿraj 665
al-Muʾayyad Shaykh 12	ustādh of	Dawlāt Bāy al-Muʾayyadī 273
al-Muʾayyad Shaykh 12	ustādh of	Barsbāy al-ʾĪnālī al-Muʾayyadī 2725
al-Muʾayyad Shaykh 12	ustādh of	Timrāz al-Muʾayyadī al-Muṣāriʿ 737
al-Muʾayyad Shaykh 12	ustādh of	Sayf al-Dīn Jānibak b. ʿAbd Allāh al-Qawāmī al-Muʾayyadī 3708
al-Muʾayyad Shaykh 12	ustādh of	Tanam al-Muʾayyadī 227
al-Muʾayyad Shaykh 12	ustādh of	Jānibak al-Tājī al-Muʾayyadī 1062
al-Muʾayyad Shaykh 12	ustādh of	Jānim al-Muʾayyadī 1176
al-Muʾayyad Shaykh 12	ustādh of	Kasbāy al-Muʾayyadī 799
al-Muʾayyad Shaykh 12	ustādh of	Sūdūn al-Muʾayyadī al-Faqīh al-ʾAshqar 3833
al-Muʾayyad Shaykh 12	ustādh of	Qānim al-Tājir 1075
al-Muʾayyad Shaykh 12	ustādh of	Khayrbak al-Muʾayyadī 974
al-Muʾayyad Shaykh 12	ustādh of	ʾUrkmās al-Julbānī 1286
al-Muʾayyad Shaykh 12	ustādh of	Jānibak al-Muʾayyadī al-Shamsī 3911
al-Muʾayyad Shaykh 12	ustādh of	Jānibak al-Maḥmūdī 181
al-Muʾayyad Shaykh 12	ustādh of	ʾAqbāy al-Khāzindār al-Muʾayyadī 301
al-Muʾayyad Shaykh 12	ustādh of	Qaṣrūh min Timrāz al-Ẓāhirī 145
al-Muʾayyad Shaykh 12	ustādh of	Jānim al-Muʾayyadī 3925
al-Muʾayyad Shaykh 12	ustādh of	Jakam al-Nūrī al-Muʾayyadī 1175
al-Muʾayyad Shaykh 12	ustādh of	ʾUzbak al-Shishmānī al-Muʾayyadī 3930
al-Muʾayyad Shaykh 12	ustādh of	ʾAlṭunbughā al-Marqabī  97
al-Muʾayyad Shaykh 12	ustādh of	Yarshubāy al-ʾĪnālī  949
al-Muʾayyad Shaykh 12	ustādh of	Yashbak al-Muʾayyadī al-Ṣūfī 919
al-Muʾayyad Shaykh 12	ustādh of	ʿAllān al-Muʾayyadī 1314
al-Muʾayyad Shaykh 12	ustādh of	Qānī Bāy al-Muʾayyadī Qarā Saqal 1346
al-Muʾayyad Shaykh 12	ustādh of	ʾAyitmish al-Muʾayyadī  815
