source	target	weight	type
ʿAbd al-Ghanī b. ʾAbī al-Faraj 1923	ʿAbd al-Qādir b. ʾAbī al-Faraj 1102	20	parent of
ʿAbd al-Ghanī b. ʾAbī al-Faraj 1923	Muḥammad b. ʿAbd al-Razzāq 363	15	sibling of
ʿAbd al-Ghanī b. ʾAbī al-Faraj 1923	Zayn al-Dīn Yaḥyā 118	10	relative of
Sulaymān b. ʿAnqāʾ b. Muhannā 1925	Muḥammad b. ʿAnqāʾ b. Muhannā 4277	15	sibling of
Sulaymān b. ʿAnqāʾ b. Muhannā 1925	Mūsā b. ʿAssāf b. Muhannā 4276	10	relative of
Sulaymān b. ʿAnqāʾ b. Muhannā 1925	Nuʿayr b. Muhannā 1819	10	relative of
Ṣuruq al-Ẓāhirī 1945	Khawand bint Ṣuruq 4312	20	parent of
ʿAlī Bak b. Dulghādir 1957	Ḥamza b. Dulghādir 765	20	parent of
ʿAlī Bak b. Dulghādir 1957	Muḥammad Bak b. Dulghādir 556	15	sibling of
ʿAlī b. al-Ṭablāwī 1958	Nāṣir al-Dīn b. al-Ṭablāwī 4354	15	sibling of
ʿAlī b. al-Ṭablāwī 1958	Bahāʾ al-Dīn al-Ṭablāwī 4352	5	nephew of
ʿAlī b. al-Ṭablāwī 1958	Nāṣir al-Dīn Muḥammad b. Satīt 4353	10	relative of
ʿAlī b. al-Ṭablāwī 1958	ʾaqārib ʿAlī b. al-Ṭablāwī 4356	10	relative of
ʿAlī Bāy al-Ẓāhirī 1959	ʾArdbāy* al-Jārkasīya 1515	15	sibling of
Fāris al-Turkumānī 1960	Ibn Fāris al-Turkumānī 4414	20	parent of
Qujmās al-Muḥammadī al-Jarkasī 1964	ʾĪnāl Bāy b. Qujmās al-Ẓāhirī 1874	20	parent of
Qujmās al-Muḥammadī al-Jarkasī 1964	Qushtamur b. Qujmās 1791	20	parent of
Qujmās al-Muḥammadī al-Jarkasī 1964	al-Ẓāhir Barqūq 4	10	relative of
Qardam al-Ḥasanī 1966	ʿAlī b.Qardam 3805	20	parent of
Muḥammad b. al-Mihmandār  1988	ʾAḥmad b. al-Mihmandār 1848	20	parent of
Muḥammad b. al-Mihmandār  1988	Muḥammad b. Muḥammad b. al-Mihmandār 2065	20	parent of
Muʿayqil b. Faḍl  1991	Zāmil b. Muhannā 1917	10	relative of
Muqbil al-Rūmī al-Ẓāhirī 1992	Ibn Muqbil al-Rūmī al-Ẓāhirī 4604	20	parent of
Saʿd al-Dīn b. Ghurāb 1997	Fakhr al-Dīn b. Ghurāb 4443	15	sibling of
al-Malik al-Manṣūr ʿAbd al-ʿAzīz  2002	al-Nāṣir Faraj b. Barqūq 14	15	sibling of
al-Malik al-Manṣūr ʿAbd al-ʿAzīz  2002	ʾIbrāhīm b. Barqūq 4249	15	sibling of
Muḥammad b. al-Ṭāzī 2005	al-Mustaʿīn bi-llāh 15	15	sibling of
Nawrūz al-Khuḍarī 2006	ʾAḥmad b. Nawrūz al-Khuḍarī 1185	20	parent of
Yalluwā b. Saḥākā  2030	Quṭlūbughā al-Kawkāʾī* 1679	5	nephew of
Muḥammad b. Muḥammad b. al-Mihmandār 2065	ʾAḥmad b. al-Mihmandār 1848	15	sibling of
ʿAbd al-Razzāq b. ʾAbi l-Faraj 2147	Fakhr al-Dīn b. ʾAbi l-Faraj 214	20	parent of
ʿAbd al-Razzāq b. ʾAbi l-Faraj 2147	ʿAbd al-Ghanī b. ʾAbī al-Faraj 1923	20	parent of
Sālim al-Dūkārī 2162	Ibn Sālim al-Dūkārī 4041	20	parent of
Muḥammad ibn Muḥammad ibn Tankiz al-Nāṣirī  2163	Tankiz 2445	10	relative of
Baktamur al-Ḥusaynī 2186	ʿAbd Allāh b. Baktamur 1684	20	parent of
Baktamur al-Ḥusaynī 2186	ʿAbd Allāh b. Baktamur 1684	20	parent of
Qānī Bāy b. ʿAbd Allāh 2197	Bint Qānī Bāy 3719	20	parent of
Qānī Bāy b. ʿAbd Allāh 2197	al-Ẓāhir Barqūq 4	10	relative of
Ṣārim al-Dīn b. Duqmāq 2215	Duqmāq 4677	10	relative of
Duqmāq al-Muḥammadī 2218	Muḥammad b. Duqmāq 3798	20	parent of
Ṣarghitmish 2219	Saʿādāt 1365	20	parent of
Ṭughaytamur al-Niẓāmī 2222	ʾAydamur al-Khiṭāʾī 1676	15	sibling of
Ḥasan Bak b. Sālim al-Dūkārī 2235	ʾAmīrzah b. Ḥasan Bak b. Sālim al-Dūkārī 2960	20	parent of
Ḥasan Bak b. Sālim al-Dūkārī 2235	ʿUthmān Qarā Yuluk 397	5	nephew of
Yaḥyā b. al-ʿAṭṭār 2239	Nāṣir al-Dīn b. al-ʿAttār 1222	15	sibling of
Kurtbāy 2241	Bint Kurtbāy 2242	20	parent of
ʾAḥmad ibn al-Sāʾis 2244	ʿAlī b. al-Sāyis al-Ṭaybarsī 1685	20	parent of
Bint Birdibak 2245	al-ʾAshraf ʾĪnāl al-ʾAjrūd 846	10	relative of
al-Nāṣir Muḥammad b. Qalāwūn 2248	dhurrīyat al-Nāṣir Muḥammad b. Qalāwūn 2945	10	relative of
Muḥammad 2251	ʾAḥmad b. ʿAlī b. ʾĪnāl al-Yūsufī 693	15	sibling of
Muḥammad 2251	ʾĪnāl al-Yūsufī al-ʾAtābak 3	10	relative of
Yalbughā al-ʿUmarī al-Khāṣṣakī 2253	ʾAḥmad b. Yalbughā al-ʿUmarī 1781	20	parent of
Yalbughā al-ʿUmarī al-Khāṣṣakī 2253	Ibnat Yalbughā 2557	20	parent of
Qārā b. Muhannaʾ b. ʿĪsā b. Muhanna 2254	Fakhr al-Dīn b. Qārā 1688	20	parent of
Qārā b. Muhannaʾ b. ʿĪsā b. Muhanna 2254	Fakhr al-Dīn b. Qārā 1688	20	parent of
Qārā b. Muhannaʾ b. ʿĪsā b. Muhanna 2254	Fakhr al-Dīn b. Qārā 1688	20	parent of
Qarājā b. Dulghādir 2256	Khalīl b. Qarājā b. Dulghādir al-Turkumānī 1692	20	parent of
ʾumm ʾIbrāhīm b. Shaykh 2260	ʾIbrāhīm b. al-Muʾayyad Shaykh 217	20	parent of
Qānī Bāy al-ʿAlāʾī 2261	al-Ẓāhir Ṭaṭar 441	10	relative of
Manjak al-Yūsufī al-Nāṣirī 2263	Fāṭima 3936	20	parent of
Manjak al-Yūsufī al-Nāṣirī 2263	ʾawlād Manjak al-Yūsufī 3950	20	parent of
