source	target	weight
Badr al-Dīn al-ʿAynī 462	Jānibak al-Nawrūzī 2916	1
Badr al-Dīn al-ʿAynī 462	Jānibak al-Nāṣirī al-Murtadd 1088	1
Badr al-Dīn al-ʿAynī 462	Jānibak al-Yashbakī 844	1
Badr al-Dīn al-ʿAynī 462	Jānibak al-ʾAshrafī al-Dawādār al-Thānī 3865	1
Badr al-Dīn al-ʿAynī 462	Jānibak al-ʾAshrafī al-Ẓarīf 900	1
Badr al-Dīn al-ʿAynī 462	Jānibak min Qujmās al-ʾAshrafī 891	1
Badr al-Dīn al-ʿAynī 462	Jānim al-ʾAshrafī  26	1
Badr al-Dīn al-ʿAynī 462	Jānim al-ʾAshrafī 3851	1
Badr al-Dīn al-ʿAynī 462	Jānim al-ʾAshrafī al-Bahlawān 1265	1
Badr al-Dīn al-ʿAynī 462	Jārkas al-Qāsimī al-Muṣāriʿ 593	1
Badr al-Dīn al-ʿAynī 462	Khadīja bint ʾĀqṭuwah  3959	1
Badr al-Dīn al-ʿAynī 462	Khayrbak al-Muʾayyadī 974	1
Badr al-Dīn al-ʿAynī 462	Khushkaldī 3506	1
Badr al-Dīn al-ʿAynī 462	Khushkaldī al-Jaqmaqī 3323	1
Badr al-Dīn al-ʿAynī 462	Kizil al-Sūdūnī al-Muʿallim  1411	1
Badr al-Dīn al-ʿAynī 462	Mughulbāy al-Jaqmaqī 3852	1
Badr al-Dīn al-ʿAynī 462	Mughulbāy al-Shihābī 1509	1
Badr al-Dīn al-ʿAynī 462	Muḥammad b. Barsbāy 1084	1
Badr al-Dīn al-ʿAynī 462	Muḥammad b. Qāsim 132	1
Badr al-Dīn al-ʿAynī 462	Mūsā b. Qarā 557	1
Badr al-Dīn al-ʿAynī 462	Nawrūz  3299	1
Badr al-Dīn al-ʿAynī 462	Nawrūz al-Ḥāfiẓī 35	1
Badr al-Dīn al-ʿAynī 462	Qarājā al-ʾAshrafī   263	1
Badr al-Dīn al-ʿAynī 462	Qurqmās 853	1
Badr al-Dīn al-ʿAynī 462	Qurqmās al-ʾAshrafī al-Jalab 863	1
Badr al-Dīn al-ʿAynī 462	Qānim Naʿja al-ʾAshrafī 1501	1
Badr al-Dīn al-ʿAynī 462	Salīm al-Jinānī al-Muʿtaqad 4278	1
Badr al-Dīn al-ʿAynī 462	Sayf al-Dīn Yakhshī Bāy 354	1
Badr al-Dīn al-ʿAynī 462	Sayf al-Dīn al-ʾAshrafī al-Sāqī 4671	1
Badr al-Dīn al-ʿAynī 462	Shāh Zādah bt. Ibn ʿUthmān 2983	1
Badr al-Dīn al-ʿAynī 462	Sūdūn al-Sayfī Bulāṭ al-ʾAʿrāj 306	1
Badr al-Dīn al-ʿAynī 462	Taghrī Birmish al-Turkmānī 110	1
Badr al-Dīn al-ʿAynī 462	Tanbak al-Bajāsī  212	1
Badr al-Dīn al-ʿAynī 462	Tanbak al-Jaqmaqī 32	1
Badr al-Dīn al-ʿAynī 462	Tanbak al-ʾAshrafī al-Muʿallim 2793	1
Badr al-Dīn al-ʿAynī 462	Tanbak min ʾIlyās al-Sāqī 3300	1
Badr al-Dīn al-ʿAynī 462	Timrāz al-Muʾayyadī al-Muṣāriʿ 737	1
Badr al-Dīn al-ʿAynī 462	Timrāz al-Qurmishī  27	1
Badr al-Dīn al-ʿAynī 462	Timurbāy al-Sāqī 3298	1
Badr al-Dīn al-ʿAynī 462	Tāj al-Dīn Tāj al-Shawīkī 116	1
Badr al-Dīn al-ʿAynī 462	Yashbak Janū ʾAydkī* 3297	1
Badr al-Dīn al-ʿAynī 462	Yashbak al-ʾAshqar 3301	1
Badr al-Dīn al-ʿAynī 462	Yashbak al-ʾAtābakī al-Mushidd 28	1
Badr al-Dīn al-ʿAynī 462	Yashbak al-Ḥarūn 3900	1
Badr al-Dīn al-ʿAynī 462	Yashbak ʾAkhū al-ʾAshraf Barsbāy 1452	1
Badr al-Dīn al-ʿAynī 462	Zayn al-Dīn Khushqadam al-Ẓāhirī 3432	1
Badr al-Dīn al-ʿAynī 462	al-Malik al-Ṣāliḥ Muḥammad 882	1
Badr al-Dīn al-ʿAynī 462	al-Muʾayyad Shaykh 12	1
Badr al-Dīn al-ʿAynī 462	al-Sayfī Qānī Bāy al-Yūsufī  1149	1
Badr al-Dīn al-ʿAynī 462	al-Shihābī ʾAḥmad b. al-Malik al-ʾAshraf Barsbāy al-Duqmāqī al-Ẓāhirī 3728	1
Badr al-Dīn al-ʿAynī 462	al-ʾAshrafīya Barsbāy 82	1
Badr al-Dīn al-ʿAynī 462	al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	1
Badr al-Dīn al-ʿAynī 462	al-Ẓāhir Barqūq 4	1
Badr al-Dīn al-ʿAynī 462	al-Ẓāhir Ṭaṭar 441	1
Badr al-Dīn al-ʿAynī 462	al-Ẓāhirīya (Barqūq) 2964	1
Badr al-Dīn al-ʿAynī 462	bint Yashbak al-ʾAʿraj 3784	1
Badr al-Dīn al-ʿAynī 462	hawashī (al-ʾAshraf Barsbāy) 3792	1
Badr al-Dīn al-ʿAynī 462	jawārī (al-ʾAshraf Barsbāy) 517	1
Badr al-Dīn al-ʿAynī 462	khāṣṣakīya (al-ʾAshraf Barsbāy) 1611	1
Badr al-Dīn al-ʿAynī 462	mamālīk (Barsbāy) 961	1
Badr al-Dīn al-ʿAynī 462	mamālīk julbān (al-ʾAshraf Barsbāy) 1582	1
Badr al-Dīn al-ʿAynī 462	mamālīk sulṭānīya (Barsbāy) 1015	1
Badr al-Dīn al-ʿAynī 462	ʾAmyān b. al-Ḥusaynī 1041	1
Badr al-Dīn al-ʿAynī 462	ʾArghūn Shāh al-ʾAʿwar 390	1
Badr al-Dīn al-ʿAynī 462	ʾAsandamur al-Jaqmaqī 1177	1
Badr al-Dīn al-ʿAynī 462	ʾAsandamur al-Nūrī al-Ẓāhirī 957	1
Badr al-Dīn al-ʿAynī 462	ʾAydakī al-ʾAshrafī 1282	1
Badr al-Dīn al-ʿAynī 462	ʾAḥmad b. Nawrūz al-Khuḍarī 1185	1
Badr al-Dīn al-ʿAynī 462	ʾIyās al-Ṭawīl 3901	1
Badr al-Dīn al-ʿAynī 462	ʾUrkmās 4044	1
Badr al-Dīn al-ʿAynī 462	ʾUzbak al-ʾAshrafī al-Bawwāb 3946	1
Badr al-Dīn al-ʿAynī 462	ʾUzdamur 262	1
Badr al-Dīn al-ʿAynī 462	ʾUzdamur 3807	1
Badr al-Dīn al-ʿAynī 462	ʾawlād al-ʾAshraf Barsbāy 3309	1
Badr al-Dīn al-ʿAynī 462	ʾaʿyān al-ʾAshrafīya Barsbāy 2238	1
Badr al-Dīn al-ʿAynī 462	ʾĀqṭuwah al-ʾAshrafī 3957	1
Badr al-Dīn al-ʿAynī 462	ʾĪnāl al-Kamālī al-Nāṣirī 3695	1
Badr al-Dīn al-ʿAynī 462	ʾĪnāl al-ʾAshrafī al-Faqīh 21	1
Badr al-Dīn al-ʿAynī 462	ʿAbd al-Karīm b. Kātib Jakam 1226	1
Badr al-Dīn al-ʿAynī 462	ʿAbd al-Wahhāb al-Khaṭīr 2774	1
Badr al-Dīn al-ʿAynī 462	ʿAlī Bāy al-ʾAshrafī 820	1
Badr al-Dīn al-ʿAynī 462	ʿawn al-ʾAshraf Barsbāy 3586	1
Badr al-Dīn al-ʿAynī 462	Ṣalāḥ al-Dīn b. Naṣr Allāh 522	1
Badr al-Dīn al-ʿAynī 462	Ṣādiq 3860	1
Badr al-Dīn al-ʿAynī 462	Ṭūghān al-Zardkāsh  261	1
Badr al-Dīn b. Muzhir 1079	Barsbāy al-ʾĪnālī al-Muʾayyadī 2725	1
Badr al-Dīn b. Muzhir 1079	Bayghūt  al-Muʾayyadī al-ʾAʿraj 665	1
Badr al-Dīn b. Muzhir 1079	Bint al-Muʾayyad 2930	1
Badr al-Dīn b. Muzhir 1079	Dawlāt Bāy al-Muʾayyadī 273	1
Badr al-Dīn b. Muzhir 1079	Dāwud b. al-Kuwayz 203	1
Badr al-Dīn b. Muzhir 1079	Fakhr al-Dīn b. ʾAbi l-Faraj 214	1
Badr al-Dīn b. Muzhir 1079	Faraj b. Sakiz Bāy 2635	1
Badr al-Dīn b. Muzhir 1079	Fatḥ Allāh al-Tabrīzī 16	1
Badr al-Dīn b. Muzhir 1079	Fayrūz al-Jārkasī al-Sāqī 19	1
Badr al-Dīn b. Muzhir 1079	Fāris al-Maḥmūdī 136	1
Badr al-Dīn b. Muzhir 1079	Jakam al-Nūrī al-Muʾayyadī 1175	1
Badr al-Dīn b. Muzhir 1079	Jaqmaq al-ʾArghūn Shāwī 34	1
Badr al-Dīn b. Muzhir 1079	Jawhar al-Timrāzī al-Ḥabashī 3793	1
Badr al-Dīn b. Muzhir 1079	Julbān al-Muʾayyadī ʾAmīr ʾĀkhūr 179	1
Badr al-Dīn b. Muzhir 1079	Jānibak al-Maḥmūdī 181	1
Badr al-Dīn b. Muzhir 1079	Jānibak al-Muʾayyadī al-Bajmaqdār 1525	1
Badr al-Dīn b. Muzhir 1079	Jānibak al-Muʾayyadī al-Shamsī 3911	1
Badr al-Dīn b. Muzhir 1079	Jānibak al-Sāqī 3562	1
Badr al-Dīn b. Muzhir 1079	Jānibak al-Tājī al-Muʾayyadī 1062	1
Badr al-Dīn b. Muzhir 1079	Jānibāk al-Muʾayyadī al-Dawādār 213	1
Badr al-Dīn b. Muzhir 1079	Jānim al-Muʾayyadī 1176	1
Badr al-Dīn b. Muzhir 1079	Jānim al-Muʾayyadī 3925	1
Badr al-Dīn b. Muzhir 1079	Jānim al-Muʾayyadī 4112	1
Badr al-Dīn b. Muzhir 1079	Kasbāy al-Muʾayyadī 799	1
Badr al-Dīn b. Muzhir 1079	Khalīl b. al-Kuwayz 1534	1
Badr al-Dīn b. Muzhir 1079	Khawand 1116	1
Badr al-Dīn b. Muzhir 1079	Khawand Khadīja 631	1
Badr al-Dīn b. Muzhir 1079	Khawand Zaynab 3597	1
Badr al-Dīn b. Muzhir 1079	Khayrbak al-Muʾayyadī 974	1
Badr al-Dīn b. Muzhir 1079	Kizil Nāʾib Bahasnā 289	1
