source	target	weight
Badr al-Dīn al-ʿAynī 462	Saʿd al-Dīn al-Dīrī al-Ḥanafī 94	1
Badr al-Dīn al-ʿAynī 462	Shams al-Dīn Muḥammad al-Dīrī 508	1
Badr al-Dīn al-ʿAynī 462	Shams al-Dīn al-Barmāwī 1204	1
Badr al-Dīn al-ʿAynī 462	Shams al-Dīn al-Basāṭī  78	1
Badr al-Dīn al-ʿAynī 462	Shams al-Dīn al-Harawī 401	1
Badr al-Dīn al-ʿAynī 462	Shams al-Dīn al-Qāyātī al-Shāfiʿī 836	1
Badr al-Dīn al-ʿAynī 462	Shaʿbān b. al-Yaghmūrī 907	1
Badr al-Dīn al-ʿAynī 462	Shihāb al- Dīn ʾAḥmad b. Ḥajar 93	1
Badr al-Dīn al-ʿAynī 462	Shihāb al-Dīn ʾAḥmad al-Ḥusaynī 912	1
Badr al-Dīn al-ʿAynī 462	Shādibak al-Jakamī 782	1
Badr al-Dīn al-ʿAynī 462	Shāhīn 724	1
Badr al-Dīn al-ʿAynī 462	Shāhīn al-Zardkāsh 310	1
Badr al-Dīn al-ʿAynī 462	Shāhīn al-ʾAfram 41	1
Badr al-Dīn al-ʿAynī 462	Shāhīn al-ʾArghūn Shāwī 814	1
Badr al-Dīn al-ʿAynī 462	Shāhīn b. ʿAbd al-ʿAzīz 806	1
Badr al-Dīn al-ʿAynī 462	Sunqur al-Muʾayyadī 1016	1
Badr al-Dīn al-ʿAynī 462	Sūdūn Miyiq 1576	1
Badr al-Dīn al-ʿAynī 462	Sūdūn Qarāṣaqal 257	1
Badr al-Dīn al-ʿAynī 462	Sūdūn al-Lakkāshī 1670	1
Badr al-Dīn al-ʿAynī 462	Sūdūn al-Qāḍī 246	1
Badr al-Dīn al-ʿAynī 462	Sūdūn al-ʾAsandamurī 309	1
Badr al-Dīn al-ʿAynī 462	Sūdūn al-ʾAshqar 43	1
Badr al-Dīn al-ʿAynī 462	Sūdūn al-Ḥamawī 1642	1
Badr al-Dīn al-ʿAynī 462	Sūdūn min ʿAbd al-Raḥmān 259	1
Badr al-Dīn al-ʿAynī 462	Taghrī Birdī Sayyidī al-Ṣaghīr 65	1
Badr al-Dīn al-ʿAynī 462	Taghrī Birdī al-Maḥmūdī 1205	1
Badr al-Dīn al-ʿAynī 462	Taghrī Birmish al-Turkmānī 110	1
Badr al-Dīn al-ʿAynī 462	Tanam al-Muʾayyadī 227	1
Badr al-Dīn al-ʿAynī 462	Tanbak Miyiq 308	1
