Source	Target	Weight
الصيرفي	النيسابوري	3
الحنبلي	منبج	2
الشافعي	بعلبك	6
اشبيلية	فاس	9
الامير	الرافضي	6
اللاذقية	دمشق	2
اصبهان	الخباز	2
العباسي	المولي	3
المقريء	واسط	22
الجيزة	الشام	2
الانماطي	البغدادي	3
اربل	همذان	2
الشاطبي	المولي	2
الكناني	بغداد	2
الاديب	مكة	2
امل	مكة	4
المغربي	مراغة	2
القاهرة	مكة	3
مصر	نابلس	2
المعري	المقريء	3
الفقيه	مكة	12
تكريت	دمشق	5
العباسي	كرمان	3
الطبري	القاضي	4
الفقيه	اليمن	6
المقدسي	الموصل	3
بعلبك	دمشق	19
الحاصر	سنجار	2
الهيتي	هيت	2
الرافضي	المولي	4
البرجي	المرية	2
المءدب	الموصل	3
السلجوقي	القاضي	2
البارع	الشافعي	5
الاربلي	الشافعي	4
اللخمي	فاس	3
الشاعر	طرابلس	2
الامير	الجزيرة	3
المحدث	زنجان	2
قيسارية	قيسارية	7
البلنسي	جيان	2
العراق	سرخس	3
الاديب	الاندلسي	6
الروم	القيسي	2
اصبهان	حران	3
السكري	المقريء	3
صور	طوس	2
الطرابلسي	دمشق	2
الدمشقي	المقدسي	3
الخطيب	الموصل	4
اربل	الشافعي	6
بغداد	حلب	36
انطاكية	نصيبين	3
الشام	امل	6
التاجر	الحنبلي	2
الشام	العبدي	2
خراسان	طرابلس	2
البلنسي	المالكي	2
الشام	عسقلان	5
القدس	حران	5
خراسان	فارس	8
الصوفي	شيراز	2
البغدادي	الشاعر	21
الاصبهاني	التيمي	6
الامير	منبج	4
الغرناطي	مرسية	2
الارموي	الخياط	2
دوين	مصر	3
الجواد	طرابلس	2
الكوفة	الواسطي	3
الحجاز	امل	2
المدينة	المقريء	2
الهروي	رباط	2
المروزي	المسعودي	6
تلمسان	تونس	2
القزويني	المقريء	2
الدمشقي	خراسان	7
التاجر	هراة	3
الجيزة	عكا	2
بغداد	طرابلس	2
فاس	مكة	2
البيع	الحداد	2
حلب	همذان	4
المحدث	الواعظ	5
البخاري	مرو	7
القيسي	المدينة	2
بعلبك	كفرطاب	2
خراسان	دهستان	2
البخاري	دمشق	2
الامير	الموصل	11
اصبهان	الاملي	2
الغساني	القاضي	2
الكوفة	المدينة	5
الحجاز	همذان	7
القدس	جرجان	3
اشبيلية	البطليوسي	2
الشامي	بعلبك	2
الشام	بسطام	2
القطان	المقريء	3
الشافعي	القرطبي	2
الروم	دمشق	5
التاجر	الخياط	2
الري	مصر	2
الفرضي	النحوي	2
اشبيلية	الاسكندرية	4
الموصلي	دمشق	9
اصبهان	شيزر	2
اشبيلية	تلمسان	4
الاسكندرية	البنجديهي	2
المشهد	النوقاني	4
الكرج	بعلبك	2
الكوفة	الكوفي	8
الخادم	المولي	3
الازدي	الشام	2
المتنبي	النحوي	2
الصفار	المروزي	2
اشبيلية	الباجي	2
الاطرابلسي	الدمشقي	2
الواعظ	دمشق	22
الشيعي	حمص	2
الشهرزوري	دمشق	2
الرازي	الشام	2
الدمشقي	الضرير	3
الجزيرة	مصر	12
المرية	قرطبة	7
التركي	بالس	3
الجماعيلي	بغداد	2
افريقية	الامير	3
المقدسي	مرو	4
الدمشقي	الشاعر	3
اشبيلية	العراق	2
البغدادي	الدباس	3
البلنسي	الموصل	2
الاندلسي	قرطبة	18
الداري	المولي	2
القاضي	القيسي	4
الشاغوري	دمشق	2
الطابران	امل	2
الاديب	الشام	7
العبدري	طرطوشة	2
البصرة	الجبال	3
البزاز	المقريء	4
البخاري	الزهري	2
المتنبي	المقريء	3
العقيلي	دمشق	3
الصوفي	العلوي	4
قيسارية	مراكش	2
الروم	غرناطة	4
الاديب	البصري	4
خراسان	شيراز	2
السمعاني	جرجان	2
التاجر	المحدث	3
ديار بكر	طرابلس	2
الكاتب	تكريت	3
بغداد	سمرقند	10
الشافعي	القزويني	3
آمد	طبرستان	2
الاديب	اللغوي	5
الامير	الصنهاجي	3
اليمن	نيسابور	2
الكرج	هراة	2
سجستان	كرمان	2
الزهري	بغداد	2
الفقيه	نهاوند	2
الجياني	بغداد	3
البغدادي	العباسي	14
المدينة	حلب	4
الابيض	الخادم	3
القدس	صور	7
التنوخي	الموصل	2
السلجوقي	بغداد	8
التركي	الغازي	2
الشام	النظامي	2
الاسكندرية	الطوسي	2
الكعبي	الموصلي	2
اربل	البوازيج	2
اربل	دمشق	3
الطويل	الناصري	2
البارع	الحلبي	2
الكوفة	المفيد	2
العراقي	بغداد	4
الابار	القيسي	2
سمرقند	مرو	12
الحلة	بغداد	9
البارع	واسط	2
الصالحي	الموصل	3
حمص	دوين	2
الدمشقي	حرستا	2
اشبيلية	الفقيه	5
الطرطوشي	المقريء	2
البارع	المتكلم	2
الاسكندرية	الحنبلي	2
الاسكندرية	العراق	2
الصنهاجي	طرابلس	2
خسروجرد	مرو	2
الشاهد	بغداد	4
الفيلسوف	باجة	4
البغدادي	الهند	4
اصبهان	عسقلان	2
الاندلس	الشاعر	10
الغرناطي	القيسي	2
الشام	طبرية	2
البلدي	نسف	2
الشام	دوين	3
تكريت	حمص	2
تونس	قيسارية	2
المقريء	يزد	2
آمد	الري	2
المقريء	بلخ	2
الامير	عكا	10
القدس	الكوفة	3
الحجاز	السمعاني	2
العراق	حلب	10
الشافعي	اليمني	2
البغدادي	الصوفي	25
الاندلس	جيان	2
القاهرة	تكريت	3
الابار	النحوي	2
الجزيرة	مكة	2
المروزي	بخارى	3
البزاز	الواسطي	2
الاسواني	مصر	2
دمشق	قاسيون	6
البصري	صرخد	2
اصبهان	هراة	25
النظامي	امل	4
اصبهان	زنجان	2
المغرب	سرقسطة	2
مرسية	ميورقة	2
السبتي	القاضي	4
الشامي	المصري	2
الانبار	صور	2
الكوفة	رباط	2
المعرة	مصر	5
الكفرطابي	دمشق	3
البغدادي	التميمي	4
التركي	دمشق	7
البارع	الغرناطي	2
غزنة	ما وراء النهر	2
الحنفي	همذان	3
البصري	حلب	2
العراق	الهاشمي	3
الشاعر	مصر	9
السمرقندي	الفقيه	4
الفسطاط	المالكي	2
الاسكندرية	ميافارقين	3
الغازي	مرو	2
بيروت	قيسارية	4
المتولي	الموصل	2
الزهري	النظامي	2
الازجي	البيع	4
الاديب	الخطيب	3
افريقية	دمشق	2
المقريء	المولي	5
الداري	الكاتب	2
القيسي	المرية	2
الخطيب	حلب	3
البصرة	تكريت	2
الشافعي	شاطبة	3
العراق	نصيبين	2
بغداد	دمشق	115
الامير	صور	2
البغدادي	الواسطي	6
الاديب	المخزومي	2
الدمشقي	الشاهد	4
الكاتب	طرابلس	4
الاصبهاني	الشافعي	6
الاسكندرية	الكردي	3
اذربيجان	تكريت	3
دمشق	مردا	4
آمد	الكوفة	2
رباط	فارس	3
المالكي	بغداد	6
سبتة	قرطبة	7
القدس	قيسارية	4
الشيعي	المولي	3
التاجر	الشام	2
امل	قزوين	2
قرطبة	لبلة	2
العباسي	الواسطي	2
البارع	الكاتب	4
الحنفي	سمرقند	3
اللغوي	المفيد	2
الحنبلي	الخفاف	2
الجبال	دمشق	6
المغرب	صقلية	3
العراق	المروزي	2
الفقيه	النظامي	22
الشافعي	العراق	5
افريقية	الاشبيلي	2
بجاية	قرطبة	4
اصبهان	المدينة	8
اللخمي	المرية	3
الاسدي	الاصبهاني	2
الاشبيلي	الاموي	3
الاندلس	الجبال	3
الجذامي	المقريء	5
