Source	Target	Weight
الاسكندرية	الناصري	2
القيسي	تدمر	2
المدينة	سمرقند	2
الاشبيلي	القاضي	3
الشيعي	الهذلي	2
خوارزم	مراغة	2
البربري	المغرب	2
الحبشي	القاضي	2
القاهرة	المغرب	4
الخلاطي	القاهرة	2
الاندلس	همذان	2
القيسي	المغرب	7
الاشقر	دمشق	6
الشاعر	المداءني	2
الجمال	الدمشقي	4
المزة	مصر	4
اليمن	مصر	37
دانية	مصر	2
الحريري	السخاوي	2
العبدي	حلب	2
الصوفي	امل	2
الاندلسي	القرطبي	5
المفسر	هراة	2
المعري	حران	2
الحلبي	الواعظ	2
الاسكندرية	النحوي	6
الجندي	المولي	2
الحنفي	المتكلم	4
الدمشقي	عكا	3
التركي	الشام	3
القرطبي	تونس	3
التاجر	النوري	2
الشافعي	الطالقان	2
الكناني	دمشق	12
المطرز	المقريء	2
العادلي	دمشق	4
العراق	قاسيون	5
الاسكندرية	تونس	4
البخاري	المفتي	2
اليمن	حضرموت	2
الفقيه	بغداد	100
الخياط	مصر	2
اللغوي	بعلبك	2
الشافعي	بخارى	2
اليمن	ماردين	2
المءذن	بغداد	2
المغرب	غرناطة	5
الحلبي	قاسيون	2
الغلام	دمشق	3
الانصاري	البزاز	2
الجزري	قاسيون	3
الاموي	المالكي	3
الحنفي	الناصري	2
الاصبهاني	قاسيون	2
اصبهان	المفيد	4
خراسان	قاسيون	4
اليمن	يزد	2
الفقيه	القبلي	2
آمد	الشيعي	2
الذهبي	دمشق	3
السامري	دمشق	4
الاديب	الطبيب	3
القاضي	الكندي	2
المولي	مصر	19
المقدسي	بغداد	36
الاسكندرية	الاشقر	2
المدينة	قم	3
الشافعي	العدوي	2
الشافعي	الكبري	2
الحجاز	الروم	2
القرشي	المالكي	11
الاربلي	الهمداني	2
القاهرة	الكرج	2
النوبة	مصر	5
الانصاري	قيسارية	4
المولي	صهيون	3
الزنجاني	النظامي	2
الغازي	المولي	2
الابهري	الشافعي	2
الاسود	فارس	2
البغدادي	النهرواني	2
الشاعر	صرخد	5
الامير	القاهرة	46
الزبداني	بعلبك	2
المولي	غرناطة	2
الري	الهاشمي	2
السلجوقي	مصر	2
الامير	الثماني	3
الربعي	المالكي	7
الاديب	الكرك	2
آمد	اربل	2
السهروردي	الواسطي	2
غرناطة	قرطبة	9
الشاطبي	شاطبة	2
المزة	الموصل	2
التاجر	الداري	2
الشافعي	القاهرة	79
القاهرة	المخزومي	3
الرملة	القاضي	2
الاسكندرية	خوارزم	2
الامير	الهند	2
حلوان	مصر	2
المحدث	المقريء	22
البلدي	قاسيون	3
الحمصي	الدمشقي	2
بغداد	دهستان	2
النيسابوري	بغداد	4
العراقي	مصر	4
البلنسي	غرناطة	3
اصبهان	فارس	5
الصالحي	المفتي	2
الشافعي	زملكا	2
النيسابوري	خراسان	5
الكوفة	واسط	4
الدمشقي	النحوي	4
الاندلس	القرطبي	8
الانصاري	الموصلي	2
تفليس	غزنة	2
الضرير	مرسية	2
خوارزم	شيراز	2
القرشي	حلب	10
الاسكندرية	سبتة	5
الاسكندرية	الغرناطي	4
الغرناطي	المقريء	4
البلنسي	المغرب	3
العبادي	دمشق	5
