Source	Target	Weight
البصرة	الكوفي	30
البحرين	الطائف	2
التميمي	الرحال	2
الفرضي	النحوي	5
الباهلي	النرسي	2
المتولي	المولي	10
الحنبلي	الخرقي	4
البهراني	الدمشقي	3
المءذن	المءذن	4
المشهد	النوقاني	10
بغداد	خوي	2
اللغوي	تونس	2
الداني	الرقي	2
حران	فارس	10
ارمينية	القدس	2
الازدي	الشام	18
البلنسي	المعافري	5
المرسي	المقريء	7
الاسدي	الرقة	4
اشبيلية	الباجي	7
البيع	الصوفي	2
الواعظ	دمشق	54
الشيعي	حمص	3
الخولاني	داريا	3
البصري	السجزي	2
المسعودي	دمشق	2
التركي	بالس	3
القزويني	فارس	2
الرحبي	دمشق	6
التميمي	الخزاعي	2
الدمشقي	الشاعر	22
الثعلبي	الفقيه	4
البغدادي	الحصري	2
الطواشي	دمياط	2
العلوي	جرجان	3
القرطبي	الكناني	6
القاضي	القيسي	8
السواق	بغداد	2
الهمذاني	نيسابور	5
الجوهري	مرو	2
الحارثي	الكوفة	4
الابيض	المغربي	2
الحجاز	الكوفي	4
الاهواز	الشام	9
المفتي	دمشق	27
الانطاكي	القاضي	2
طرابلس	فسا	2
الزرزاري	دمشق	3
القرطبي	قيسارية	2
الفيوم	حلب	2
الحلي	دمشق	4
خراسان	شيراز	9
الصدفي	المصري	24
الغساني	مصر	7
المقريء	اليحصبي	3
الرقة	القاضي	7
الفقيه	النوقاني	8
الانصاري	تبوك	3
الحبشة	المدني	2
اليمن	نيسابور	17
الكرج	هراة	2
البطليوسي	دمشق	2
الاعمي	البصري	5
بسطام	قم	3
الليثي	المولي	14
الشيعي	الهاشمي	5
الدوري	مصر	3
الكعبي	الموصلي	2
الرازي	الكاتب	2
خراسان	طبرستان	5
البغدادي	اللءلءي	5
الاقوش	الصالحي	3
سمرقند	مرو	29
الثقفي	قزوين	2
الصالحي	الموصل	7
الاصم	نيسابور	2
الشافعي	سنجار	4
الفارس	القيسي	2
البارع	التلمساني	2
الشام	المداءن	6
الري	فرغانة	3
اذربيجان	مرو	7
الجواد	دمشق	11
الخزرجي	المحدث	3
الناصري	حلب	2
الكلابي	الكوفي	4
الحنبلي	الغسال	2
البارع	المتكلم	5
الخشني	النحوي	2
التجيبي	النحوي	4
الدارمي	الشام	2
القيروان	المهدوي	2
العراقي	العلوي	2
البغدادي	الهند	9
الرومي	المولي	19
الاسكندراني	البزاز	3
بخارى	دهستان	2
الشام	طبرية	8
المصري	النيسابوري	4
الحميري	المصري	5
اشبيلية	مراكش	29
القدس	الكوفة	10
الاشعري	المولي	9
الدقاق	القاضي	3
البغدادي	التبريزي	2
الغلام	القيروان	2
الشام	القرطبي	8
الانباري	الحنبلي	2
القاص	المدني	5
الاشناني	المقريء	9
الحضر	بغداد	4
الري	حلوان	4
القيروان	واسط	2
الاندلسي	الهواري	2
الحيرة	دمشق	2
الانبار	صور	3
الاسدي	المدني	24
الانبار	الري	3
المعرة	مصر	8
المقدمي	الواسطي	2
الصوفي	المءدب	3
الدمشقي	العرضي	4
البصري	حلب	4
الشاعر	مصر	52
الصوفي	الصيرفي	2
الشرقي	الكوفي	3
الاديب	الطوسي	3
البغدادي	المداءن	4
البغدادي	المصيصي	3
الخطيب	حلب	9
الخزرجي	الشافعي	7
البصرة	تكريت	3
الازدي	الحنفي	2
الشافعي	شاطبة	3
المالكي	النحوي	6
الكاتب	المقريء	20
حران	قاسيون	6
المري	خراسان	2
سبتة	قرطبة	20
التاجر	الشام	15
قرطبة	لبلة	3
الحنفي	سمرقند	13
الخوارزمي	حلب	4
الحنبلي	الخفاف	2
آمد	حمص	4
التكريتي	منبج	2
الجبال	دمشق	16
اصبهان	القزويني	7
الطويل	المصري	8
العالي	المحدث	8
الحلبي	الحنفي	19
