URI	REG_MESO	TR	SEARCH	EN	TYPE	LAT	LON	AR	AR_Alt	AR_Sort
MUNKHARIQ_411E353N_S	Aqur_RE	al-Munḫariq	al-Munkhariq	NA	towns	41.13557	35.33548	المنخرق	المنخرق	منخرق
MINDAS_008E356N_S	Maghrib_RE	Mindās	Mindas	NA	towns	0.8273	35.67814	منداس	منداس	منداس
MANDAB_434E126N_S	Yaman_RE	al-Mandab	al-Mandab	NA	towns	43.4995	12.6926	المندب	المندب	مندب
MANZILBASHU_109E367N_S	Maghrib_RE	Manzil=Bāšū	Manzil=Bashu	NA	towns	10.94269	36.72745	منزل=باشو	منزل=باشو	منزل=باشو
MUNASTIR_108E357N_S	Maghrib_RE	Munastīr	Munastir	NA	towns	10.80402	35.75548	منستير	منستير	منستير
MANF_312E298N_S	Misr_RE	Manf	Manf|al-Aziziyya	NA	towns	31.25648	29.85447	منف	منف|العزيزية	منف
MUNK_696E383N_S	Mawarannahr_RE	Munk	Munk	NA	towns	69.69102	38.32824	منك	منك	منك
MANUF_309E304N_S	Misr_RE	Manūf	Manuf	NA	towns	30.9195	30.45505	منوف	منوف	منوف
MANUQAN_575E274N_S	Kirman_RE	Manūqān	Manuqan|Manujan	NA	towns	57.56194	27.45601	منوقان	منوقان|منوجان	منوقان
MINA_399E213N_S	JaziratArab_RE	Miná	Mina	NA	towns	39.93206	21.35325	منى	منى	منى
