MATCH	URIS	TOPONYMS
لنهرجرشيق	NAHRJARSIQ_517E293N_W	نهر جرسيق
بخشم	KHASHM_491E374N_S	خشم
الفلج	FALAJ_465E221N_R	الفلج
ببيتالمقدس	BAYTMAQDIS_352E317N_S	بيت المقدس
لباذ	BADH_520E335N_S	باذ
باجة	BAJA_078W380N_S,BAJA_092E366N_S	باجة : باجة
وبالقلعة	QALA_576E226N_S	القلعة
خليجالاسكندرية	KHALIJISKANDARIYYA_301E311N_W	خليج الإسكندرية
وهران	WAHRAN_006W357N_S	وهران
بكثروا	KATHRUWA_577E301N_S	كثروا
قبرالعبادي	QASRIBADI_172E309N_S	قصر العبادي
لقرليون	QURLIYUN_133E378N_S	قرليون
وبالساعدة	SAIDA_379E321N_S	الساعدة
المبارك	MUBARAK_398E355N_S	المبارك
وبالجنفس	KHANFAS_407E314N_S	الخنفس
ونوقادقريش	NAWKAD_662E388N_S	نوكاد
وخشناباذ	KHUSHNABADH_552E287N_S	خشناباذ
وقالري	QALLARI_688E264N_S	قالري
وقندهار	QANDAHAR_656E316N_S	قندهار
وخليجسردوس	KHALIJSARDUS_315E311N_W	خليج سردوس
بفريش	FIRRISH_055W379N_R	فريش
بالسكر	SIKR_467E321N_S	السكر
وبالجحفة	JUHFA_391E226N_S	الجحفة
سجستان	Sijistan_RE	سجستان
بجاهزنداية	JAHZANDAYA_541E288N_S	جاه زنداية
وبالغزة	GHUZZA_010E361N_S	الغزة
بقربيت	QURBAYT_316E307N_R	قربيت
بنهرقويق	NAHRQUWAYQ_372E362N_W	نهر قويق
وسمورة	SAMMURA_057W414N_S	سمورة
وبهمذان	HAMADHAN_485E347N_S	همذان
وعكة	AKKA_350E329N_S	عكة
وببحيرةطبرية	BUHAYRATABARIYYA_355E328N_W	بحيرة طبرية
لخناب	KHANNAB_567E298N_S	خناب
وبحوران	HAWRAN_367E326N_S	الحوران
بربور	BARBUR_604E272N_S	بربور
وقلعةالجص	QALAJISS_516E301N_S	قلعة الجص
وبمامطير	MAMATIR_527E365N_S	مامطير
فاران	FARAN_336E286N_S	فاران
وبمدكمينية!	MADHMINIYYA_593E426N_S,MADHMINIYYA_594E427N_S	مذمينية : مذمينية
بالحصين	HUSAYN_407E356N_S	الحصين
لرحبةملكابنطوق	RAHBAMALIKIBNTAWQ_404E349N_S	رحبة ملك إبن طوق
بواديزبيد	WADIZABID_434E141N_W	وادي زبيد
وشوذر	SHAWDHAR_033W378N_S	شوذر
بسبخةمنهوشا	SABKHAMANHUSHA_186E297N_R	سبخة منهوشا
لطبرقة	TABARQA_088E369N_S	طبرقة
لقلعةرباح	QALARABAH_037W388N_S	قلعة رباح
والفوارة	FAWWARA_105E335N_S	الفوارة
لدستجردة	DASTAJIRDA_666E368N_S	دستجردة
ومشكوية	MASHKUYA_507E353N_S	مشكوية
بمارب	MARIB_454E155N_S	مأرب
دزك	DIZAK_622E273N_S	دزك
بمدينةالنبي	MADINA_396E244N_S	المدينة
وسينيز	SINIZ_502E299N_S	سينيز
فربر	FIRABR_636E391N_S	فربر
جوبانن	JUBANAN_534E297N_S	جوبانن
ونهرمرغب	NAHRMURGHAB_625E367N_W	نهر مرغب
لقسطيلية	QASTILIYA_082E338N_R	قسطيلية
لبغراس	BAGHRAS_362E364N_S	بغراس
ايك	IYJ_542E289N_S	إيج
وقريةالاسد	QARYAASAD_538E315N_S	قرية الأسد
بمحلةالمحروم	MAHALLAMAHRUM_309E307N_S	محلة المحروم
بويب	BUWAYB_315E301N_S	بويب
بشروخ	SHURUKH_633E400N_S	شروخ
والقنطرة	QANTARA_323E308N_S	القنطرة
مرسية	MURSIYA_011W379N_S	مرسية
بايلة	AYLA_349E295N_S	أيلة
بارماءيل	ARMABIL_663E262N_S	أرمابيل
ببنة	BABNA_624E349N_S	ببنة
بمالقة	MALIQA_044W367N_S	مالقة
وبخولنجان	KHANLANJAN_515E324N_S	خان لنجان
وبمريس	MARIS_309E203N_R	مريس
وسورة	SURA_662E284N_S	سورة
نهرلمقلوب	NAHRL-MAQLUB_364E344N_W	نهر لمقلوب
لالرهيمة	RUHAYMA_439E318N_S	الرهيمة
لمارتوش	MARTUSH_039W377N_S	مارتوش
وفرهاكرد	FARHAKIRD_595E357N_S	فرهاكرد
وبدسكرة	DASKARA_449E339N_S	دسكرة
لديلمان	DAYLAMAN_505E366N_R	ديلمان
لورمين	DIZA_516E353N_O	دزا
لنابلس	NABULUS_352E322N_S	نابلس
وروزكان	RUZKAN_519E318N_S	روزكان
لادرسكر	ADRASKAR_622E335N_S	أدرسكر
ورباطعتيق	RIBATATIQ_650E394N_S	رباط عتيق
لمديمجكث	MADIYAMJAKATH_654E402N_S	مديمجكث
وببحيرةاخلاط	BUHAYRAAKHLAT_429E387N_W	بحيرة أخلاط
ومغون	MAGHUN_577E279N_S	مغون
ببدليس	BADLIS_421E383N_S	بدليس
وبذخشان	BADHAKHSHAN_707E375N_R	بذخشان
وبكردرانخواش	KARDARANKHAS_606E413N_S	كردرانخاس
والثعلبية	THALABIYYA_431E282N_S	الثعلبية
بسنجاهان	SANJAHAN_503E297N_S	سنجاهان
ودرغان	DARGHAN_621E404N_S	درغان
وباسكندرونة	ISKANDARUNA_361E365N_S	إسكندرونة
اوريولة	URYULA_009W380N_S	أوريولة
وبسردد	SURDUD_430E151N_R	سردد
لالجنينة	JUNAYNA_371E279N_S	الجنينة
وبزرنج	BAZRANJ_511E299N_R,ZARANJ_616E307N_S	بزرنج : زرنج
لجسرجهنم	JISRJAHANNAM_502E314N_S	جسر جهنم
سردان	SARDAN_504E309N_R	سردان
وبمنجاباري	MANJABARA_682E258N_S	منجابارى
وشهرباباك	SHABABAK_550E301N_S	شابابك
ديروط	DAYRUT_304E312N_S	ديروط
وبقهقاوة	QAW_314E269N_S	قو
بصاحك	SAHIK_504E299N_S	صاحك
بقرقيسية	QARQISIYYA_404E351N_S	قرقيسية
لاللاذقية	LADHIQIYYA_358E355N_S	اللاذقية
لضرية	DARIYYA_428E246N_S	ضرية
لخنان	KHUNAN_455E413N_S	خنان
لحوران	HAWRAN_367E326N_S	الحوران
وطبستان	TABISTAN_538E289N_S	طبستان
وشوردوازدة	SHURIRUDH_577E312N_S	شورروذ
لنسفان	NASAFAN_448E140N_R	نسفان
لامرة	IMMARA_431E253N_S	إمرة
وبحوضالحاجب	HAWDHAJIB_554E335N_S	حوض الحاجب
لخوشت	KHASHT_639E343N_S	خشت
بتقيوس	TAQYUS_082E340N_S	تقيوس
زيتون	ZAYTUN_503E305N_S	زيتون
وبطبستان	TABISTAN_538E289N_S	طبستان
وخور	KHUR_584E329N_S	خور
وبقراقر	QURAKIR_377E313N_S	قراكر
بدازقي	DAZIQI_411E343N_S	دازقي
وبروجرد	BURUJIRD_488E339N_S	بروجرد
كشيد	KASHID_582E297N_S	كشيد
الابواب	ABWAB_340E174N_S	الأبواب
لقريةالجمال	DIHUSHTURAN_557E303N_S	ده أشتران
لالمسكيانة	MISKYANA_077E356N_S	المسكيانة
طبريش	TABRISH_500E347N_R	طبريش
بلبلة	LABLA_066W373N_S	لبلة
وتجنة	TAJANNA_013E363N_S	تجنة
السحول	SUHUL_440E141N_R	السحول
وبمازر	MAZAR_125E376N_S	مازر
لرستجرد	RUSTAJIRD_502E317N_S	رستجرد
لميبذ	MAYBUDH_539E322N_S	ميبذ
وبجكين	JAKIN_574E272N_S	جكين
لبشجرت	BASHJIRT_541E500N_R	بشجرت
كلوذار	KALWADHAR_531E298N_S	كلوذار
لبيشكند	BISKAND_583E360N_S	بيسكند
اوة	AWA_505E346N_S	آوة
بسياهكوه	SIYAHKUH_522E345N_O	سياه كوه
والنير	NIR_479E380N_S	النير
قريةالخلاف	QARYABIDH_531E306N_S	قرية بيذ
بديلمان	DAYLAMAN_505E366N_R	ديلمان
والجرسيات	JURASIYYAT_308E303N_S	الجرسيات
نساء	NASA_582E378N_S,NASA_711E404N_R	نساء : نساء
الشيراوان	SIRAWAN_468E335N_S	السيروان
نهرهيرميد	NAHRHILMAND_631E304N_W	نهر هلمند
باذبين	BADHIBIN_465E321N_S	باذبين
وبسجرد	BASHJIRT_541E500N_R	بشجرت
وببرلس	BURULLUS_309E315N_S	برلس
الصعيد	SAID_330E241N_R	الصعيد
بذخكث	BADHAKHKATH_701E424N_S	بذخكث
بربذة	RABADHA_413E246N_S	ربذة
وبجاسم	JASIM_360E329N_S	جاسم
فلسطين	FILASTIN_351E317N_R	فلسطين
وعرفجاء	ARFAJA_386E299N_S	عرفجاء
جرمق	JARMAQ_549E335N_S	جرمق
وبالسليلة	SALILA_412E243N_S	السليلة
لالاسراب	ASRAB_637E358N_S	الأسراب
بحرفارس	BAHRFARIS_493E299N_W,BAHRFARIS_533E261N_W	بحر فارس : بحر فارس
عينزيتونة	ZAYTUNA_101E343N_S	الزيتونة
وسمسطا	SUMUSTA_308E289N_S	سمسطا
وسبيبة	SABIBA_091E354N_S	سبيبة
وبطابران	TUS_594E364N_S	طوس
وبناكث	BANAKATH_688E407N_S	بناكث
لالبهنسا	BAHANSA_306E285N_S	البهنسا
والصغد	SUGHD_659E394N_R	الصغد
وبوصيرقوريدس	BUSIR_311E292N_S	بوصير
وبالجزيرة	JAZIRA_312E300N_S,Aqur_RE	الجزيرة : الجزيرة
وببناتحرب	BANATJARM_427E192N_O	بنات جرم
باجنا	IKHNA_307E315N_S	إخنا
بسوسة	SUSA_106E358N_S	سوسة
لواديتاجو	WADITAJU_080W395N_W	وادي تاجو
طبسمسينان	TABASMASINAN_602E328N_S	طبس مسينان
لالواحات	WAHAT_294E265N_R	الواحات
وبمحلةنقيدة	MAHALLANUQAYDA_307E307N_S	محلة نقيدة
بعرفجاء	ARFAJA_386E299N_S	عرفجاء
وطولقا	TAWLAQA_053E346N_S	طولقا
وباللطمين	ATMIN_366E353N_S	الأطمين
لجزيرةجبلطارق	JAZIRAJABALTARIQ_053W361N_S	جزيرة جبل طارق
وصاع	SA_028W344N_S	صاع
وبالعرش	URSH_428E169N_S	العرش
وبقرين	QURAYN_395E214N_S	قرين
لبيرا	BIRA_398E356N_S	بيرا
بمايمرغ	MAYAMURGH_652E390N_S,MAYMURGH_666E395N_R	مايمرغ : مايمرغ
بالقطر	QATR_466E317N_O	القطر
وبحيرةالبختكان	BUHAYRABAKHTIKAN_539E293N_W	بحيرة البختكان
قنوج	QANNAWJ_800E271N_S	قنوج
بيبمبم	YABAMBAM_428E188N_S	يبمبم
قاراجون	QARAJUN_644E395N_S	قاراجون
وببون	BAWN_439E157N_R	بون
وواديسبو	WADISABU_059W344N_W	وادي سبو
وتنا	TANA_315E310N_S	تنا
لطلقان	TALAQAN_508E361N_S,TALAQAN_642E357N_S	طلقان : طلقان
بملحان	MILHAN_434E153N_R	ملحان
لكلاية	KILABA_360E275N_S	كلابة
لكلابة	KILABA_360E275N_S	كلابة
بافريقية	Maghrib_RE	إفريقية
لنتيني	LANTINI_150E372N_S	لنتيني
وبالبدهة	BUDHA_675E287N_R	البدهة
لقصراحنف	QASRAHNAF_632E357N_S	قصر أحنف
لالجسي	HUSA_420E317N_S	الحسى
بالرب	RABB_432E334N_S	الرب
وبرخشميثن	ARDHAKHUSHMITHAN_602E416N_S	أرذخشميثن
وواديتاجو	WADITAJU_080W395N_W	وادي تاجو
بداة	BADA_445E322N_S	بداة
لثجر	THAJR_378E288N_S	ثجر
وبكورد	KURD_519E306N_S	كورد
بالبحرين	BAHRAYN_495E261N_R	البحرين
بجاسم	JASIM_360E329N_S	جاسم
وعينشمس	AYNSHAMS_313E301N_S	عين شمس
وبسوخ	SUKH_712E399N_S	سوخ
وتدمير	TUDMIR_013W379N_R	تدمير
ورستاقبيك	RUSTAQBIK_699E371N_S	رستاق بيك
لماب	MAAB_357E312N_S	مآب
لكشانيي	KUSHANI_664E400N_S	كشاني
لدوسر	DAWSAR_384E359N_S	دوسر
وبالعزيزية	MANF_312E298N_S	منف
بمنجاباري	MANJABARA_682E258N_S	منجابارى
بالسوارقية	SUWARIQIYYA_403E232N_S	السوارقية
وقهقاوة	QAW_314E269N_S	قو
وخلار	KHULLAR_521E299N_S	خلار
لجهرم	JAHRAM_535E285N_S	جهرم
قفاعة	QUFAA_435E137N_R	قفاعة
وبقريةالاس	QARYAAS_539E296N_S	قرية الآس
مناذر	MANADHIR_485E313N_R	مناذر
الرمل	RAML_631E401N_S	الرمل
وجنبذملجان	JUNBADHMALLAGHAN_508E302N_S	جنبذ ملغان
لاسبيجاب	ISBIJAB_697E422N_S	إسبيجاب
بالجدد	JUDAD_410E217N_S	الجدد
ابسكون	ABASKUN_540E370N_S	آبسكون
بوستة	BUSTA_497E351N_S	بوستة
بظفار	ZAFAR_443E142N_S	ظفار
وبجرجستان	GHARJSHAR_644E348N_R	غرج الشار
نهرزندروذ	NAHRZANDARUDH_519E324N_W	نهر زندروذ
وبريقان	RIQAN_587E286N_S	ريقان
وببست	BUST_643E313N_S	بست
لبصرة	BASRA_058W348N_S	بصرة
بحرالروم	BAHRRUM_017E372N_W,BAHRRUM_302E322N_W	بحر الروم : بحر الروم
شيراز	SHIRAZ_525E296N_S	شيراز
بعريش	ARISH_045W323N_S	عريش
لالبحرين	BAHRAYN_495E261N_R	البحرين
كدر	KADAR_683E426N_S	كدر
ووادياش	WADIYASH_031W373N_S	وادياش
الغوطة	GHUTA_364E335N_W	الغوطة
لابسكون	ABASKUN_540E370N_S	آبسكون
دارا	DARA_409E371N_S	دارا
بالكرك	KARAK_356E311N_S	كرك
لنمالتة	NAMALATA_046W341N_S	نمالتة
قصرالفلوس	FALUSAN_017W350N_S	فالوسن
وبنهرجنجس	NAHRJANJAS_834E251N_W	نهر جنجس
ببروجرد	BURUJIRD_488E339N_S	بروجرد
وخشاف	KHUSHAF_376E360N_S	خشاف
والفاروث	FARUTH_465E318N_S	الفاروث
لسرقوسطة	SARAQUSA_009W416N_S	سرقسطة
لنهراسبيذروذ	NAHRISBIDHRUDH_488E369N_W,NAHRISBIDHRUDH_496E369N_W	نهر إسبيذروذ : نهر إسبيذروذ
وبكوين	JUWAYN_616E317N_S	جوين
وخانقين	KHANIQIN_454E343N_S	خانقين
وبدنيسر	DUNAYSIR_405E371N_S	دنيسر
وترنوط	TARNUT_308E304N_S	ترنوط
وكشميهن	KUSHMAYHAN_625E377N_S	كشميهن
وكروخ	KARUKH_625E344N_S	كروخ
قرين	QURAYN_395E214N_S	قرين
قصرابنهبيرة	QASRIBNHUBAYRA_443E327N_S	قصر إبن هبيرة
لالاربس	LURBUS_088E361N_S	لربس
لكزناية	KAZANNAYA_039W346N_S	كزناية
بمعان	MAAN_357E301N_S	معان
لابليل	IBLIL_318E310N_R	إبليل
لعينالجر	AYNJARR_359E337N_S	عين الجر
وبخيسار	KHAYSAR_625E342N_S	خيسار
كبال	KUBAL_762E432N_S	كبال
كومين	KUMIZ_572E277N_S	كوميز
وبخاناويس	KHANRUSHAN_520E312N_S	خان روشن
ببيروزاباذ	JUR_525E288N_S	جور
وبسجستان	Sijistan_RE	سجستان
وبالاجولي	AJWALI_374E298N_S	الأجولي
وبخديمنكان	KHUDIMANKAN_655E401N_S	خديمنكان
لخويت	KHUWI_449E385N_S	خوي
لسبيذ	ISBIDH_599E299N_S	إسبيذ
العمق	UMAQ_409E240N_S	العمق
وسابور	SABUR_515E298N_R,SHAHRASTAN_515E298N_S	سابور : شهرستان
بواديموسي	WADIMUSA_354E303N_S	وادي موسى
وبالمهلبي	MUHALLABI_561E334N_S	المهلبي
بنهرلمقلوب	NAHRL-MAQLUB_364E344N_W	نهر لمقلوب
وبسوركان	ARDAKAN_570E279N_S	أردكان
وبفكان	FAKKAN_000E352N_S	فكان
لفادوسبان	FADUSBAN_529E356N_R	فادوسبان
بكسب	KAHDA_520E353N_S	كهدة
ونوبندجان	NUBANDAJAN_515E301N_S	نوبندجان
وبخانازادمرد	RAYKAN_526E285N_S	رايكان
باوطاس	AWTAS_406E217N_S	أوطاس
لرباطعبدالله	RIBATABDALLAH_639E313N_S	رباط عبد الله
وواديالخارد	WADIKHARID_444E159N_W	وادي الخارد
وبميورقة	MAYURQA_299E395N_R	ميورقة
وبجسداء	JUSADA_427E195N_S	جسداء
بارمنية	ARMINIYYA_441E394N_R	أرمنية
البقارة	BAQQARA_331E310N_S	البقارة
بطنت	TANTITA_311E302N_S	تنتيتا
مراغة	MARAGHA_462E373N_S	مراغة
ومهرة	MAHRA_502E151N_R	مهرة
وحلي	HALI_413E186N_S	حلي
وجاهبر	BIRBAR_575E321N_S	بئر بر
لبه	BIH_613E262N_S	به
لخاست	KHASHT_639E343N_S	خشت
بريباطعلياباذ	RIBATALIYYABADH_537E357N_S	ريباط علياباذ
الحشية	HASHIYYA_398E314N_S	الحشية
وبمينك	MINK_693E393N_R	مينك
والسوس	SUS_482E322N_S	سوس
وبوادييبة	WADIYABA_414E190N_W	وادي يبة
بخوشت	KHASHT_639E343N_S	خشت
وبلخ	BALKH_668E367N_S	بلخ
ودمنش	DAMANNASH_154E381N_S	دمنش
لكهندة	KAHDA_520E353N_S	كهدة
لالبتم	BUTTAM_684E389N_S	البتم
خانميم	KHANMIM_528E293N_S	خان ميم
وبميلا	MILA_062E364N_S	ميلا
وبلاردة	LARIDA_006E416N_S	لاردة
وبصبران	SABRAN_672E438N_S	صبران
والشراك	SHIRAK_305E309N_R	الشراك
لمرسية	MURSIYA_011W379N_S	مرسية
واخر	AKHUR_557E391N_S	آخر
ورباطعلي	RIBATALI_545E372N_S	رباط علي
اشترمغاك	USHTURMAGHAK_613E368N_S	أشترمغاك
وخايسار	KHAYSAR_673E324N_S	خايسار
وبسروستان	KHAWARISTAN_532E292N_S	خورستان
لسوجر	SAWJAR_508E320N_S	سوجر
وقرمونة	QARMUNA_056W374N_S	قرمونة
لمينك	MINK_693E393N_R	مينك
والشام	Sham_RE	الشام
لبوة	LABWA_363E341N_S	لبوة
لطبريش	TABRISH_500E347N_R	طبريش
بزعفرنية	ZAFARANIYYA_484E348N_S	زعفرنية
وبشهرستان	SABUR_515E298N_R,SHAHRASTAN_515E298N_S,SHAHRASTAN_552E371N_S	سابور : شهرستان : شهرستان
ببشلنك	BISHLANK_648E326N_S	بشلنك
وببيلمك	BAYLAMAK_547E378N_S	بيلمك
ونهرساتيدما	WADIMASULIYAT_411E379N_W	وادي مسوليات
لدمسيس	DAMSIS_312E308N_S	دمسيس
ودنقلة	DUNQALA_307E180N_S	دنقلة
بازدود	AZDUD_346E317N_S	أزدود
خاكساران	KHAKISAR_596E360N_S	خكسار
وروبنج	RUBANJ_544E285N_R	روبنج
لنجاف	NAJAF_443E319N_S	نجاف
لقبرغياث	QABRGHIYATH_653E375N_S	قبر غياث
بكركه	ZAMM_651E378N_S	زم
بعقبةالرمان	AQABARUMMAN_361E338N_S	عقبة الرمان
بقصرسنجة	QASRSANJA_381E374N_S	قصر سنجة
المغيثة	MUGHITHA_440E311N_S,MUGHITHAMAWAN_414E250N_S	المغيثة : مغيثة الماوان
وببناتجرم	BANATJARM_427E192N_O	بنات جرم
والمخنق	MAKHNAQ_446E128N_S	المخنق
وبالموصل	MAWSIL_431E363N_S	الموصل
بموش	MUSH_414E387N_S	موش
وبشرورة	SHARURA_434E178N_S	شرورة
لدقوقاء	DAQUQA_444E351N_S	دقوقاء
وجرج	KURK_584E288N_S	كرك
وبشتفروش	BUSHTAFRUSH_592E361N_S	بشتفروش
لالفرضة	FURDA_407E346N_S	الفرضة
بضبا	DABBA_357E273N_S	ضبا
بنهرصرصر	NAHRSARSAR_441E331N_W	نهر صرصر
وبسروزن	SARUZAN_621E311N_S	سروزن
لدارقان	DARAQAN_487E334N_S	دارقان
كرديز	KARDIZ_691E336N_S	كرديز
وبقريةالخوارزميين	QARYAKHUWARIZMIYYIN_655E376N_S	قرية الخوارزميين
بترجيلة	TARAJILA_059W394N_S	ترجيلة
وبلنجر	BALANJAR_464E432N_S	بلنجر
لشالوس	SHALUS_514E366N_S	شالوس
ببارما	BARIMMA_435E350N_S	بارما
لكره	KARAH_613E344N_S	كره
بفارياب	FARIYAB_649E364N_S	فارياب
وطليطلة	TULAYTILA_040W398N_S	طليطلة
بالفحيمة	FUHAYMA_421E342N_S	الفحيمة
الرويان	RUYAN_517E363N_S	الرويان
وبرباطوز	RIBATWAZZ_517E330N_S	رباط وز
بفيشابور	FAYSHABUR_424E370N_S	فيشابور
باليهودية	ISBAHAN_516E326N_S,YAHUDIYYA_648E359N_S	إصبهان : اليهودية
مرجالقلعة	MARJ_462E343N_S	المرج
وتنتيتا	TANTITA_311E302N_S	تنتيتا
لموغان	MUGHAN_485E393N_S	موغان
بانبو	UNBUWA_329E244N_S	أنبوا
وبسوج	SUKH_712E399N_S	سوخ
بجسرجهنم	JISRJAHANNAM_502E314N_S	جسر جهنم
وبالخليل	HABRA_350E315N_S	حبرة
وبطبرمين	TABARMIN_152E378N_S	طبرمين
بالقلوفي	QULUFI_395E321N_S	القلوفي
نهرجريب	NAHRJARIYAB_709E383N_W	نهر جريب
وبخور	KHUR_584E329N_S	خور
قيسارية	QAYSARIYYA_354E387N_S,QAYSARIYYA_348E324N_S	قيسارية : قيسرية
بحيران	HAYRAN_430E159N_R	حيران
وبحصنالنصاري	DAYRNASARA_330E311N_S	دير النصارى
وجلاب	JULLAB_389E374N_S	جلاب
لالخليل	HABRA_350E315N_S	حبرة
زاور	ZAWAR_568E312N_S	زاور
وبسوقحمزة	SUQHAMZA_039E363N_S	سوق حمزة
الريدة	RAYDA_440E158N_S	الريدة
بصعدة	SADA_437E169N_S	صعدة
وببيتالمقدس	BAYTMAQDIS_352E317N_S	بيت المقدس
ودستكرد	WASHJIRD_692E384N_S	وشجرد
خيوان	KHAYWAN_440E162N_S	خيوان
وببحرالروم	BAHRRUM_017E372N_W,BAHRRUM_302E322N_W	بحر الروم : بحر الروم
جنابذ	YUNABIDH_586E342N_S	ينابيذ
وبقصير	QUSAYR_342E261N_S	قصير
بلاداور	BALADDAWAR_651E322N_R	بلد داور
لترقالة	TARQALA_088W305N_S	ترقالة
سابزوار	SABZAWAR_576E361N_S	سابزوار
لشاطبة	SHATIBA_005W389N_S	شاطبة
وطرطوس	ANTARTUS_359E348N_S	أنطرطوس
لرفنية	RAFANIYYA_364E349N_S	رفنية
لكريون	KARYUN_301E311N_S	الكريون
لبلنياس	BULUNYAS_359E351N_S	بلنياس
كوغون	KUGHUN_570E296N_S	كوغون
وشورروذ	SHURIRUDH_577E312N_S	شورروذ
جراوةابوالعيش	JARAWAABUAYSH_022W350N_S	جراوة أبو العيش
لاتريب	ATRIB_311E304N_S	أتريب
خرة	KHURRA_519E292N_S	خرة
لكماخ	KAMAKH_390E395N_S	كمخ
راكاه	RAKAH_485E344N_S	راكاه
لقصرقند	QASRQAND_607E262N_S	قصرقند
لبلاسابور	BALASABUR_511E303N_R	بلا سابور
لقرقوب	QURQUB_477E321N_S	قرقوب
مروالشاهجان	MARW_621E376N_S	مرو
لاليهوديتين	YAHUDIYYATAYN_177E307N_S	اليهوديتين
جبلالعيون	JABALUYUN_069W374N_S	جبل العيون
الطرفة	TARAFA_400E245N_S	الطرفة
اشبيلية	ISHBILIYYA_059W374N_S	إشبيلية
وباعشيقا	BAASHIQA_433E364N_S	باعشيقا
وباباليون	QASR_312E300N_S	القصر
وبكاه	KAH_677E352N_S	كاه
ومهدية	MAHDIYYA_110E354N_S	مهدية
وبالفرضة	FURDA_407E346N_S	الفرضة
منداس	MINDAS_008E356N_S	منداس
لبلاق	BILAQ_329E239N_S	بلاق
لحسيناباذ	HUSAYNABADH_579E361N_S	حسيناباذ
بطبسالعناب	TABASMASINAN_602E328N_S	طبس مسينان
وبمرند	MARAND_458E384N_S	مرند
بخوي	KHUWI_449E385N_S	خوي
واندخوذ	ANDAKHUDH_651E369N_S	أندخوذ
لشلنبة	SHALANBA_520E356N_S	شلنبة
وتون	TUN_581E339N_S	تون
كيزكانان	KIZKANAN_665E290N_S	كيزكانان
ومشكان	MUSHKAN_528E306N_S	مشكان
وبصندفا	SANDAFA_311E309N_S	صندفا
وقصرابنهبيرة	QASRIBNHUBAYRA_443E327N_S	قصر إبن هبيرة
ولوردجان	LURDAJAN_507E315N_S	لوردجان
بعيذاب	AYDHAB_362E224N_S	عيذب
لعقرقوف	AQARQUF_441E333N_R	عقرقوف
بالعريش	ARISH_338E311N_S	العريش
وبمرجالشيخ	MARJSHAYKH_248E316N_S	مرج الشيخ
وبضنك	DANK_563E235N_S	ضنك
لالحوفالغربي	HAWFGHARBI_304E307N_R	الحوف الغربي
وبرشيد	RASHID_303E314N_S	رشيد
بالحنفس	KHANFAS_407E314N_S	الخنفس
وكناءسالحديد	KANAISHADID_279E309N_S	كنائس الحديد
بنهرقرطوبة	NAHRQURTUBA_051W377N_W	نهر قرطوبة
لكث	KATH_537E293N_S,KATH_607E417N_S	كث : كث
بابهر	ABHAR_492E361N_S	أبهر
بدمسيس	DAMSIS_312E308N_S	دمسيس
وبانداجاراغ	ANDAJARAGH_691E372N_S	أنداجاراغ
بنامهند	NAMAHAND_519E357N_S	نامهند
وسوجر	SAWJAR_508E320N_S	سوجر
ورباطماش	RIBATMASH_614E413N_S	رباط ماش
لانطرسوس	ANTARTUS_359E348N_S,TARSUS_349E369N_S	أنطرطوس : طرسوس
بكوسري	KUSUWI_611E346N_S	كوسوي
والنيل	NIL_448E325N_S	النيل
وببرطاس	BURTAS_466E526N_R	برطاس
ببحيرةكازرون	BUHAYRAKAZARUN_518E295N_W	بحيرة كازرون
ونهرسيحان	NAHRSAYHAN_352E368N_W	نهر سيحان
عدن	ADAN_450E127N_S	عدن
المدينة	MADINA_396E244N_S	المدينة
وبطبريش	TABRISH_500E347N_R	طبريش
وبدينور	DINAWAR_474E346N_S	دينور
وجبلبهرة	JABALBAHRA_362E352N_O	جبل بهرة
وبقلعةكرماطة	QALAKARMATA_043W341N_S	قلعة كرماطة
وبالاشمونين	USHMUNAYN_307E278N_S	الأشمونين
لجسداء	JUSADA_427E195N_S	جسداء
لحبرون	HABRA_350E315N_S	حبرة
ركوة	ARKU_072E360N_S	أركو
وبضنكان	DANKAN_423E175N_R	ضنكان
ونجيرم	NAJIRAM_511E284N_R	نجيرم
سبيطلة	SUBAYTILA_092E352N_S	سبيطلة
وجسرجهنم	JISRJAHANNAM_502E314N_S	جسر جهنم
ينوكرد	JARUJIRD_618E375N_S	جروجرد
ونهرارسناس	NAHRARSANAS_402E387N_W	نهر أرسناس
برحبة	RUHBA_364E276N_R	رحبة
لرباطشور	RIBATSHUR_635E350N_S	رباط شور
وراكاه	RAKAH_485E344N_S	راكاه
وبكاج	KAJ_513E349N_S	كاج
لالاخدمية	AKHDAMIYYA_422E322N_S	الأخدمية
وبجزيرةابوشريك	JAZIRAABUSHARIK_109E370N_S	جزيرة أبو شريك
وببلهيب	BALHIB_304E312N_S	بلهيب
لكمخ	KAMAKH_390E395N_S	كمخ
وبايلاق	ILAQ_702E407N_R	إيلاق
وبالياج	YAJ_151E376N_S	الياج
برسيق	BARSIQ_302E310N_S	برسيق
جايمند	JAYIMAND_598E350N_S	جايمند
لخورستان	KHAWARISTAN_532E292N_S,KHAWARISTAN_540E299N_S	خورستان : خورستان
وصعدة	SADA_437E169N_S	صعدة
حبرون	HABRA_350E315N_S	حبرة
بجبلالسماق	JABALSUMAQ_365E356N_O	جبل السماق
واغماتوريكة	WARIKA_076W314N_S	وريكة
واديمسون	WADIMASUN_036W344N_W	وادي مسون
فسا	FASA_536E289N_S	فسا
لاسوان	USWAN_329E241N_S	أسوان
لصامغار	SAMGHAR_702E404N_S	صامغار
بمجدلسليم	MAJDALSALIM_354E332N_S	مجدل سليم
لاشتر	LASHTAR_482E338N_S	لاشتر
وباذبين	BADHIBIN_465E321N_S	باذبين
