MATCH	URIS	TOPONYMS
بالصعيد	SAID_330E241N_R	الصعيد
بدسكاخانخاس	DASKAKHANKHAS_599E418N_S	دسكاخان خاس
ونهرخرماروذ	NAHRKHURMARUDH_553E370N_W	نهر خرماروذ
وبقريةالاسد	QARYAASAD_538E315N_S	قرية الأسد
نستراوة	NASTARAWA_307E314N_S	نستراوة
لالطرف	TARAFA_400E245N_S	الطرفة
وباردخيوه	ARDAKHIWAH_602E421N_S	أردخيوه
القلوفي	QULUFI_395E321N_S	القلوفي
لوريكة	WARIKA_076W314N_S	وريكة
بكوهبيان	KUHBAYAN_562E313N_S	كوه بيان
لنهرالذيب	NAHRDHIB_400E380N_W	نهر الذيب
قزوين	QAZWIN_500E362N_S	قزوين
لبيمند	BIMAND_555E296N_S	بيمند
ببستداران	BUSTADARAN_568E341N_S	بستداران
نهرخرماروذ	NAHRKHURMARUDH_553E370N_W	نهر خرماروذ
بالعرف	URF_442E150N_S	العرف
وبكثة	YAZD_543E319N_S	يزد
قونية	QUNIYA_324E378N_S	قونية
وبنهرفره	NAHRFARAH_617E320N_W	نهر فره
لقربيت	QURBAYT_316E307N_R	قربيت
واللطمين	ATMIN_366E353N_S	الأطمين
لشلب	MADINASHALAB_084W372N_S	مدينة شلب
وباخرز	BAKHARZ_603E350N_R	باخرز
بصخا	SAKHA_309E310N_S	صخا
لخوبذان	KHAWADHAN_515E302N_S	خواذان
بباغاي	BAGHAY_071E355N_S	باغاي
كركويه	KARKUYAH_617E312N_S	كركويه
لالجفار	JIFAR_332E307N_R	الجفار
تنيس	TINNIS_322E312N_S	تنيس
احور	AHWAR_465E136N_R,AHWAR_466E135N_S	أحور : أحور
وبروزكان	RUZKAN_519E318N_S	روزكان
والسيب	SIB_448E329N_S	السيب
وبديرتيرمة	DAYRBAZAMA_447E336N_S	دير بازمة
بفارغر	FARGHAR_694E374N_S	فارغر
بنوباغ	NUBAGH_598E422N_S	نوباغ
منوف	MANUF_309E304N_S	منوف
وليون	LIYUN_055W426N_S	ليون
لبحيرةالصغر	BUHAYRAMUNTINA_354E313N_W	بحيرة المنتنة
بقصرالريح	QASRRIH_591E360N_S	قصر الريح
