id	region	lon	lat	topType	topTypeAlt	translitTitle	arTitle	translitTitleOther	arTitleOther	searchNames	arBW
JABGHUKATH_695E413N_S_TRAN	Transoxiana	69.52452	41.31976	towns	cite	Ǧabġūkaṯ	جبغوكث	Ǧabġūkaṯ	جبغوكث	Jabghukath	Jabghukath
TAMLIYAT_695E382N_S_TRAN	Transoxiana	69.53106	38.25651	towns	cite	Tamliyāt	تمليات	Tamliyāt	تمليات	Tamliyat	Tamliyat
BARKUSH_695E415N_S_TRAN	Transoxiana	69.53615	41.51080	towns	cite	Barkūš	بركوش	Barkūš	بركوش	Barkush	Barkush
NAHRBARBAN_695E378N_W_TRAN	Transoxiana	69.56601	37.84635	waters	riviere	Nahr Barbān	نهر بربان	Nahr Barbān	نهر بربان	Nahr Barban	Nahr Barban
NAHRFARGHAR_695E374N_W_TRAN	Transoxiana	69.57609	37.41482	waters	riviere	Nahr Fārġar	نهر فارغر	Nahr Fārġar	نهر فارغر	Nahr Farghar	Nahr Farghar
ARSUBANIKATH_696E399N_S_TRAN	Transoxiana	69.60096	39.93024	towns	cite	Arsubānīkaṯ	أرسبانيكث	Arsubānīkaṯ, Subānīkaṯ	أرسبانيكث، سبانيكث	Arsubanikath, Subanikath	Arsubanikath, Subanikath
JAMUKAT_696E422N_S_TRAN	Transoxiana	69.62235	42.26934	towns	cite	Ǧamūkat	جموكت	Ǧamūkat	جموكت	Jamukat	Jamukat
KHUJANDA_696E402N_S_TRAN	Transoxiana	69.63107	40.24606	towns	cite	Ḫuǧandaŧ	خجندة	Ḫuǧandaŧ	خجندة	Khujanda	Khujanda
MUNK_696E383N_S_TRAN	Transoxiana	69.69102	38.32824	towns	cite	Munk	منك	Munk	منك	Munk	Munk
KHARGHANKATH_696E415N_S_TRAN	Transoxiana	69.69791	41.59198	towns	cite	Ḫarġānkaṯ	خرغانكث	Ḫarġānkaṯ	خرغانكث	Kharghankath	Kharghankath
KHUTTAL_697E379N_R_TRAN	Transoxiana	69.75285	37.94076	regions	region	al-Ḫuttal	ﭐلختل	al-Ḫuttal	ﭐلختل	al-Khuttal	al-Khuttal
ISBIJAB_697E422N_S_TRAN	Transoxiana	69.75409	42.23062	capitals	capitale	Isbīǧāb	إسبيجاب	Isbīǧāb	إسبيجاب	Isbijab	Isbijab
ISBIJAB_697E422N_R_TRAN	Transoxiana	69.75409	42.23062	regions	circon	Isbīǧāb	إسبيجاب	Isbīǧāb	إسبيجاب	Isbijab	Isbijab
JARKARD_698E420N_S_TRAN	Transoxiana	69.82576	42.02949	towns	cite	Ǧarkard	جركرد	Ǧarkard, Ġarkard	جركرد، غركرد	Jarkard, Gharkard	Jarkard, Gharkard
ARBILAKH_698E408N_S_TRAN	Transoxiana	69.83739	40.87010	towns	cite	Arbilaḫ	أربلخ	Arbilaḫ	أربلخ	Arbilakh	Arbilakh
HULBUK_698E378N_S_TRAN	Transoxiana	69.85097	37.87023	capitals	capitale	Hulbuk	هلبك	Hulbuk	هلبك	Hulbuk	Hulbuk
MABARBADHAKHSHAN_699E375N_O_TRAN	Transoxiana	69.90205	37.59170	sites	gue	Maʿbar Baḏaḫšān	معبر بذخشان	Maʿbar Baḏaḫšān	معبر بذخشان	Mabar Badhakhshan	Mabar Badhakhshan
RUSTAQBIK_699E371N_S_TRAN	Transoxiana	69.91617	37.11046	towns	canton/cheflieu	Rustāq Bīk	رستاق بيك	Rustāq Bīk	رستاق بيك	Rustaq Bik	Rustaq Bik
NAHRILAQ_699E409N_W_TRAN	Transoxiana	69.98462	40.91696	waters	riviere	Nahr Īlāq	نهر إيلاق	Nahr Īlāq	نهر إيلاق	Nahr Ilaq	Nahr Ilaq
BANKHASH_700E409N_S_TRAN	Transoxiana	70.00883	40.99377	towns	cite	Banḫāš	بنخاش	Banḫāš, Banǧḫāš	بنخاش، بنجخاش	Bankhash, Banjkhash	Bankhash, Banjkhash
NAHRILAQ_700E409N_W_TRAN	Transoxiana	70.01367	40.91403	waters	riviere	Nahr Īlāq	نهر إيلاق	Nahr Īlāq	نهر إيلاق	Nahr Ilaq	Nahr Ilaq
NAHRHULBUK_701E383N_W_TRAN	Transoxiana	70.17895	38.30610	waters	riviere	Nahr Hulbuk	نهر هلبك	Nahr Hulbuk	نهر هلبك	Nahr Hulbuk	Nahr Hulbuk
BADHAKHKATH_701E424N_S_TRAN	Transoxiana	70.19287	42.45971	towns	cite	Baḏaḫkaṯ	بذخكث	Baḏaḫkaṯ	بذخكث	Badhakhkath	Badhakhkath
ILAQ_702E407N_R_TRAN	Transoxiana	70.20740	40.78508	regions	region	Īlāq	إيلاق	Īlāq	إيلاق	Ilaq	Ilaq
TUNKATH_702E410N_S_TRAN	Transoxiana	70.22483	41.01789	capitals	capitale	Tūnkaṯ	تونكث	Tūnkaṯ	تونكث	Tunkath	Tunkath
SAMGHAR_702E404N_S_TRAN	Transoxiana	70.22677	40.46049	villages	localite	Ṣāmġār	صامغار	Ṣāmġār	صامغار	Samghar	Samghar
RASHT_703E391N_R_TRAN	Transoxiana	70.38730	39.19555	regions	district	al-Rašt	ﭐلرشت	al-Rašt	ﭐلرشت	al-Rasht	al-Rasht
JAJISTAN_704E405N_S_TRAN	Transoxiana	70.43986	40.55623	waystations	etape	Ǧāǧīstān	جاجيستان	Ǧāǧīstān	جاجيستان	Jajistan	Jajistan
TAMTAJ_705E425N_S_TRAN	Transoxiana	70.50767	42.56503	towns	cite	Tamtāǧ	تمتاج	Tamtāǧ	تمتاج	Tamtaj	Tamtaj
KAND_705E402N_S_TRAN	Transoxiana	70.51735	40.29225	towns	cite	Kand	كند	Kand	كند	Kand	Kand
KHASH_705E410N_S_TRAN	Transoxiana	70.53285	41.02958	towns	cite	Ḫāš	خاش	Ḫāš, Ḫās, Ḫašt	خاش، خاس، خشت	Khash, Khas, Khasht	Khash, Khas, Khasht
ASBARA_707E401N_S_TRAN	Transoxiana	70.70139	40.13989	villages	localite	Asbaraŧ	أسبرة	Asbaraŧ	أسبرة	Asbara	Asbara
BARJAH_708E426N_S_TRAN	Transoxiana	70.80406	42.62635	waystations	etape	Bārǧāḥ	بارجاح	Bārǧāḥ, Bārǧāḫ, Bārǧāǧ	بارجاح، بارجاخ، بارجاج	Barjah, Barjakh, Barjaj	Barjah, Barjakh, Barjaj
TURMUGHAN_708E407N_S_TRAN	Transoxiana	70.89318	40.78105	villages	localite	Turmuġān	ترمغان	Turmuġān, Ṭurmuqān	ترمغان، طرمقان	Turmughan, Turmuqan	Turmughan, Turmuqan
WANKATH_708E409N_S_TRAN	Transoxiana	70.89511	40.92611	towns	cite	Wānkaṯ	وانكث	Wānkaṯ	وانكث	Wankath	Wankath
NAHRJARIYAB_709E383N_W_TRAN	Transoxiana	70.91287	38.37779	waters	riviere	Nahr Ǧariyab	نهر جريب	Nahr Ǧariyab	نهر جريب	Nahr Jariyab	Nahr Jariyab
KHAYLAM_709E411N_S_TRAN	Transoxiana	70.99972	41.13472	capitals	cheflieu	Ḫaylām	خيلام	Ḫaylām, Ḫayralam	خيلام، خيرلم	Khaylam, Khayralam	Khaylam, Khayralam
