source,target,weight,distance
ROUTPOINT0107_354E318N_O_NODA,RIHA_354E318N_S_SHAM,1.634253963,6119
ROUTPOINT0107_354E318N_O_NODA,ROUTPOINT0108_355E317N_O_NODA,1.118818528,8938
ROUTPOINT0114_353E318N_O_NODA,ROUTPOINT0107_354E318N_O_NODA,1.44571346,6917
ROUTPOINT0106_353E318N_O_NODA,ROUTPOINT0114_353E318N_O_NODA,5.45553737,1833
ROUTPOINT0113_351E319N_O_NODA,ROUTPOINT0106_353E318N_O_NODA,0.482905157,20708
BAYTMAQDIS_352E317N_S_SHAM,ROUTPOINT0106_353E318N_O_NODA,0.554908163,18021
BAYTMAQDIS_352E317N_S_SHAM,BAYTLAHM_351E317N_S_SHAM,1.26630366,7897
ROUTPOINT0113_351E319N_O_NODA,BAYTMAQDIS_352E317N_S_SHAM,0.686200508,14573
RAMLA_348E319N_S_SHAM,ROUTPOINT0113_351E319N_O_NODA,0.316636059,31582
RAMLA_348E319N_S_SHAM,LUDD_348E319N_S_SHAM,2.498126405,4003
YAFA_347E320N_S_SHAM,RAMLA_348E319N_S_SHAM,0.532821824,18768
ROUTPOINT0112_346E318N_O_NODA,YAFA_347E320N_S_SHAM,0.482299605,20734
ROUTPOINT0112_346E318N_O_NODA,RAMLA_348E319N_S_SHAM,0.608124544,16444
YUBNA_347E318N_S_SHAM,RAMLA_348E319N_S_SHAM,0.735402265,13598
ROUTPOINT0111_346E318N_O_NODA,YUBNA_347E318N_S_SHAM,1.435132032,6968
ROUTPOINT0111_346E318N_O_NODA,ROUTPOINT0112_346E318N_O_NODA,1.744591766,5732
MAHUZYUBNA_346E318N_S_SHAM,ROUTPOINT0112_346E318N_O_NODA,3.460207612,2890
MAHUZAZDUD_346E318N_S_SHAM,MAHUZYUBNA_346E318N_S_SHAM,1.283861856,7789
MAHUZAZDUD_346E318N_S_SHAM,ROUTPOINT0111_346E318N_O_NODA,2.227667632,4489
AZDUD_346E317N_S_SHAM,ROUTPOINT0111_346E318N_O_NODA,2.478929103,4034
ROUTPOINT0104_350E316N_O_NODA,RAMLA_348E319N_S_SHAM,0.302352301,33074
ROUTPOINT0109_345E315N_O_NODA,RAMLA_348E319N_S_SHAM,0.200485174,49879
ASQALAN_345E316N_S_SHAM,AZDUD_346E317N_S_SHAM,0.538010437,18587
ROUTPOINT0110_345E316N_O_NODA,AZDUD_346E317N_S_SHAM,0.454070744,22023
ROUTPOINT0110_345E316N_O_NODA,ASQALAN_345E316N_S_SHAM,1.996007984,5010
RAFH_342E313N_S_SHAM,ROUTPOINT0109_345E315N_O_NODA,0.241033552,41488
RAFH_342E313N_S_SHAM,GHAZZA_344E314N_S_SHAM,0.351642169,28438
ARISH_338E311N_S_EGYP,RAFH_342E313N_S_SHAM,0.20905632,47834
ROUTPOINT0110_345E316N_O_NODA,GHAZZA_344E314N_S_SHAM,0.546119819,18311
ROUTPOINT0109_345E315N_O_NODA,GHAZZA_344E314N_S_SHAM,0.706713781,14150
SUKKARIYYA_346E315N_S_SHAM,ROUTPOINT0109_345E315N_O_NODA,1.606167684,6226
BAYTJIBRIL_348E316N_S_SHAM,SUKKARIYYA_346E315N_S_SHAM,0.44636879,22403
ROUTPOINT0105_351E316N_O_NODA,BAYTLAHM_351E317N_S_SHAM,1.43472023,6970
ROUTPOINT0104_350E316N_O_NODA,BAYTJIBRIL_348E316N_S_SHAM,0.699398517,14298
ROUTPOINT0104_350E316N_O_NODA,ROUTPOINT0105_351E316N_O_NODA,0.834167501,11988
ROUTPOINT0103_350E315N_O_NODA,ROUTPOINT0104_350E316N_O_NODA,0.853096741,11722
ROUTPOINT0103_350E315N_O_NODA,ROUTPOINT0105_351E316N_O_NODA,0.732547066,13651
HABRA_350E315N_S_SHAM,ROUTPOINT0103_350E315N_O_NODA,1.99044586,5024
ROUTPOINT0102_353E313N_O_NODA,ROUTPOINT0107_354E318N_O_NODA,0.188893087,52940
ROUTPOINT0102_353E313N_O_NODA,HABRA_350E315N_S_SHAM,0.237783854,42055
SUGHAR_354E310N_S_SHAM,ROUTPOINT0102_353E313N_O_NODA,0.258064516,38750
MAAB_357E312N_S_SHAM,AMMAN_359E319N_S_SHAM,0.122206064,81829
MUTA_356E310N_S_SHAM,MAAB_357E312N_S_SHAM,0.444306216,22507
SUGHAR_354E310N_S_SHAM,MUTA_356E310N_S_SHAM,0.406983843,24571
ROUTPOINT0101_354E308N_O_NODA,SUGHAR_354E310N_S_SHAM,0.408830744,24460
ADHRUH_357E303N_S_SHAM,ROUTPOINT0101_354E308N_O_NODA,0.144644536,69135
WADIMUSA_354E303N_S_SHAM,ADHRUH_357E303N_S_SHAM,0.36161134,27654
MAAN_357E301N_S_SHAM,ADHRUH_357E303N_S_SHAM,0.613045611,16312
